OFFICE,STATE,OH,NAME,PARTY,ELECYR,ELECTP,QUESTION,POSPCT,NEGPCT,RATINGSC,POLLSTER,DAYIN,MONTHIN,YEARIN,DATEIN,DAYOUT,MONTHOUT,YEAROUT,DATEOUT,SAMPLE,TYPE,SOURCE,SOURCED,,,,,,
2,1,4,Wallace,1,1982,3,1,,24,10,9007,1,9,1964,09/01/64,1,9,1964,09/01/64,414,,6,,,,,,,
2,1,4,Wallace,1,1982,3,1,46,54,1,101,26,4,1983,4/26/1983,12,5,1983,05/12/83,482,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,43,51,1,101,27,4,1983,4/27/1983,12,5,1983,5/12/1983,515,3,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,48,52,1,101,4,10,1983,10/4/1983,30,10,1983,10/30/1983,507,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,46,50,1,101,6,10,1983,10/6/1983,30,10,1983,10/30/1983,528,3,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,35,62,1,101,23,4,1984,4/23/1984,8,5,1984,5/8/1984,554,3,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,36,64,1,101,23,4,1984,4/23/1984,8,5,1984,5/8/1984,537,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,45,55,1,101,28,11,1984,11/28/1984,16,12,1984,12/16/1984,504,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,44,53,1,101,29,11,1984,11/29/1984,13,12,1984,12/13/1984,519,3,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,40,56,1,101,6,5,1985,5/6/1985,19,5,1985,5/19/1985,508,3,1,,,,,,,
2,1,4,Wallace,1,1982,3,1,42,58,1,101,6,5,1985,5/6/1985,19,5,1985,5/19/1985,487,3,,,,,,,,
2,1,4,Wallace,1,1982,3,1,43,53,1,101,14,10,1985,10/14/1985,23,10,1985,10/23/1985,501,3,1,,,,,,,
