"","year","st","mean.approve","mean.disapprove"
"1",1900,"GA",0.53,0.33
"2",1947,"MN",0.5,NA
"3",1948,"MN",0.513333333333333,0.42
"4",1951,"MN",0.616666666666667,NA
"5",1953,"MN",0.66,0.24
"6",1954,"MN",0.72,NA
"7",1955,"MN",0.5875,0.215
"8",1956,"MN",0.603333333333333,0.23
"9",1957,"MN",0.66,0.19
"10",1958,"IN",0.33,0.52
"11",1958,"MN",0.6825,NA
"12",1959,"MN",0.5075,0.385
"13",1960,"MN",0.4925,0.37
"14",1961,"CA",0.21,0.67
"15",1961,"MN",0.417142857142857,NA
"16",1962," VT",0.398125,0.29875
"17",1962,"CA",0.24,0.65
"18",1962,"CO",0.446923076923077,0.389230769230769
"19",1962,"IL",0.32,0.52
"20",1962,"IN",0.334705882352941,0.438235294117647
"21",1962,"KY",0.505,0.425
"22",1962,"MN",0.45,0.36
"23",1962,"NH",0.407,0.31
"24",1963,"CA",0.23,0.68
"25",1963,"MN",0.408,NA
"26",1964,"AL",NA,0.24
"27",1964,"AR",0.71,0.29
"28",1964,"AZ",0.6,0.35
"29",1964,"CA",0.42,0.543333333333333
"30",1964,"CT",0.71,0.23
"31",1964,"DE",0.54,0.4
"32",1964,"FL",0.47,NA
"33",1964,"GA",0.47,0.48
"34",1964,"KY",0.54,0.42
"35",1964,"LA",0.64,0.28
"36",1964,"MA",0.42,0.55
"37",1964,"MD",0.28,0.645
"38",1964,"ME",0.47,0.5
"39",1964,"MN",0.398333333333333,NA
"40",1964,"MS",0.61,0.34
"41",1964,"NC",0.49,0.48
"42",1964,"ND",0.63,0.35
"43",1964,"NE",0.76,0.22
"44",1964,"NJ",0.54,0.39
"45",1964,"NM",0.56,0.39
"46",1964,"NY",0.35,0.63
"47",1964,"OH",0.58,0.38
"48",1964,"OK",0.7,0.25
"49",1964,"PA",0.38,0.58
"50",1964,"SC",0.57,0.36
"51",1964,"TN",0.39,0.54
"52",1964,"TX",0.81,0.17
"53",1964,"UT",0.45,0.53
"54",1964,"VA",0.65,0.27
"55",1964,"WA",0.35,0.61
"56",1964,"WI",0.45,0.51
"57",1964,"WV",0.39,0.56
"58",1965,"CA",0.26,0.69
"59",1965,"MN",0.3475,NA
"60",1965,"NJ",0.426190476190476,0.34
"61",1966,"CA",0.4,0.58
"62",1966,"GA",0.65,0.32
"63",1966,"IL",0.61,0.34
"64",1966,"MN",0.3575,0.495
"65",1966,"NJ",0.59,0.33
"66",1966,"NY",0.313529411764706,0.504705882352941
"67",1966,"SC",0.56,0.32
"68",1967,"CA",0.395,0.515
"69",1967,"MN",0.491666666666667,NA
"70",1968,"IN",0.66,0.24
"71",1968,"MN",0.394285714285714,0.371428571428571
"72",1968,"NH",0.8,0.15
"73",1969,"CA",0.405,0.54
"74",1969,"MN",0.356,NA
"75",1970,"CA",0.39,0.55
"76",1970,"MN",0.366666666666667,0.363333333333333
"77",1970,"NY",0.28,0.572173913043478
"78",1971,"CA",0.28,0.7
"79",1971,"MN",0.475555555555556,0.268888888888889
"80",1972,"CA",0.29,0.65
"81",1972,"MN",0.44,0.333
"82",1973,"MN",0.4975,0.2625
"83",1974,"CA",0.35,0.6
"84",1974,"MN",0.561666666666667,0.376666666666667
"85",1975,"CA",0.5,0.415
"86",1975,"MN",0.533333333333333,0.396666666666667
"87",1976,"CA",0.5475,0.4025
"88",1976,"MN",0.56,0.36
"89",1976,"NM",0.49,0.46
"90",1976,"WY",0.57,0.17
"91",1977,"CA",0.39,0.56
"92",1977,"MN",0.602,NA
"93",1977,"NC",0.66,0.06
"94",1977,"NM",0.51,0.49
"95",1978,"CA",0.27,0.655
"96",1978,"MN",0.5,0.455
"97",1978,"NC",0.64,0.11
"98",1978,"NM",0.41,0.55
"99",1978,"WY",0.47,0.19
"100",1979,"CA",0.326,0.65
"101",1979,"FL",0.76,0.19
"102",1979,"MN",0.63,NA
"103",1979,"NC",0.73,0.13
"104",1979,"NM",0.53,0.42
"105",1979,"PA",0.46,0.47
"106",1980,"AL",0.295,0.68
"107",1980,"CA",0.2575,0.725
"108",1980,"FL",0.64,0.27
"109",1980,"KY",0.46,0.36
