"","state","year","party","office","name","candidate","w_p","w_g","number_endorsements","dp","safe","race_G","race_P","hq_leg","hq_exe","hq_hse","hq_sen","hq_gov","hq_rel","number_cands","number_hq_leg","number_hq_exe","number_hq_rel","number_hq_non","number_hq_any","number_hq_bth","number_hq_hse","number_hq_sen","number_hq_gov","pct_hq_leg","pct_hq_exe","pct_hq_rel","pct_hq_any","win","win_hq_leg","win_hq_exe","win_hq_rel","win_hq_any","govparty_a","vote","pos","incumbentnotrun","incumbentlost","termlimit","winner"
"1","AL",1954,"D","G","FOLSOM, JAMES E. (BIG JIM)",NA,1,1,0,0.843367278575897,1,"AL 1954 G . G 1958","AL 1954 G . G 1958 D",0,1,0,0,1,1,5,0,2,2,0,2,0,0,0,1,0,0.400000005960464,0.400000005960464,0.400000005960464,100,0,1,1,1,1,NA,NA,NA,NA,NA,1
"2","AL",1958,"D","G","PATTERSON, JOHN MALCOLM",NA,1,1,0,0.79080057144165,1,"AL 1958 G . G 1962","AL 1958 G . G 1962 D",0,1,0,0,0,1,9,1,2,2,1,3,0,1,0,0,0.111111111938953,0.222222223877907,0.222222223877907,0.333333343267441,100,0,1,1,1,1,NA,NA,NA,NA,NA,1
"3","AL",1962,"D","G","WALLACE, GEORGE C.",NA,1,1,0,0.706320405006409,1,"AL 1962 G . G 1966","AL 1962 G . G 1966 D",0,0,0,0,0,0,5,0,2,2,0,2,0,0,0,1,0,0.400000005960464,0.400000005960464,0.400000005960464,100,0,0,0,0,1,NA,NA,NA,NA,NA,1
"4","AL",1966,"D","G","WALLACE, MRS. GEORGE C. (LURLEEN)",NA,1,1,1,0.642848014831543,1,"AL 1966 G . G 1970","AL 1966 G . G 1970 D",0,0,0,0,0,0,8,1,4,4,1,5,0,1,0,1,0.125,0.5,0.5,0.625,100,0,0,0,0,1,NA,NA,NA,NA,NA,1
"5","AL",1970,"R","G","",NA,1,0,NA,0.682691812515259,-1,"AL 1970 G . G 1974","AL 1970 G . G 1974 R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,100,0,0,0,0,0,NA,NA,NA,NA,NA,0
"6","AL",1974,"R","G","MCCARY, ELVIN","ELVIN MCCARY",1,0,0,0.676983714103699,-1,"AL 1974 G . G 1978","AL 1974 G . G 1978 R",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,88381,2,NA,NA,"2 consecutive",0
"7","AL",1978,"D","G","JAMES, FORREST H. (FOB), JR.","FORREST HOOD FOB JAMES",1,1,0,0.668801188468933,1,"AL 1978 G . G 1982","AL 1978 G . G 1982 D",0,0,0,0,0,0,7,0,4,4,0,4,0,0,0,2,0,0.571428596973419,0.571428596973419,0.571428596973419,100,0,0,0,0,1,551786,3,NA,NA,"2 consecutive",1
"8","AL",1978,"R","G","HUNT, GUY","GUY HUNT",1,0,0,0.668801188468933,-1,"AL 1978 G . G 1982","AL 1978 G . G 1982 R",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,196693,3,NA,NA,"2 consecutive",0
"9","AL",1982,"D","G","WALLACE, GEORGE C.","GOV. GEORGE C. WALLACE",1,1,0,0.640099942684174,1,"AL 1982 G . G 1986","AL 1982 G . G 1986 D",0,1,0,0,1,1,5,0,3,3,0,3,0,0,0,2,0,0.600000023841858,0.600000023841858,0.600000023841858,100,0,1,1,1,1,650538,3,1,NA,"2 consecutive",1
"10","AL",1982,"R","G","FOLMAR, EMERY","MAYOR EMORY M. FOLMAR",1,0,0,0.640099942684174,-1,"AL 1982 G . G 1986","AL 1982 G . G 1986 R",0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,100,0,1,1,1,0,440815,3,1,NA,"2 consecutive",0
