"","st","year","votes_for_runnerup","votes_for_winner","total_votes","vote_proportion"
"1","AL",1970,125491,637046,854952,0.745124872507462
"2","AL",1974,88381,497574,598305,0.831639381252037
"3","AL",1978,196693,551786,760104,0.725934872070138
"4","AL",1982,440815,650538,1128595,0.576414036922014
"5","AL",1986,537163,696203,1233366,0.564473967986794
"6","AL",1990,582106,633519,1215625,0.521146735218509
"7","AL",1994,594169,604926,1199095,0.504485466122367
"8","AL",1998,554746,760115,1314861,0.578095327186676
"9","AL",2002,669105,672225,1364602,0.492616162075096
"10","AL",2006,519833,718334,1240615,0.579014440418663
"11","AL",2010,625718,860489,1488179,0.578216061374337
"12","AZ",1991,448168,492569,940737,0.523599050531658
"13","AZ",1994,500702,593492,1129588,0.525405723148617
"14","AZ",1998,361552,620188,1017616,0.60945189541045
"15","AZ",2002,554465,566284,1226101,0.46185754680895
"16","AZ",2006,543528,959830,1533645,0.625848876369694
"17","AZ",2010,733935,938934,1728081,0.54333911431235
"18","CO",1994,432042,619205,1116445,0.554622036911805
"19","CO",1998,639905,648202,1321307,0.49057637626986
"20","CO",2002,475373,884583,1412602,0.626208231334799
"21","CO",2006,625886,888096,1558387,0.569881550603284
"22","CO",2010,651232,912005,1787687,0.510159216909895
"23","FL",1966,668233,821190,1489661,0.551259649007392
"24","FL",1970,746243,984305,1730548,0.568782258567806
"25","FL",1974,709438,1118954,1828392,0.61198802007447
"26","FL",1978,1123888,1406580,2530468,0.555857651628078
"27","FL",1982,949013,1739553,2688566,0.647018894087034
"28","FL",1986,1538620,1847525,3386171,0.545608889805034
"29","FL",1990,1535068,1995206,3530871,0.565074736516854
"30","FL",1994,2071068,2135008,4206659,0.507530560475665
"31","FL",1998,1773054,2191105,3964441,0.552689521675313
"32","FL",2002,2201427,2856845,5100574,0.56010264727068
"33","FL",2006,2718289,2718289,5369199,0.506274585836733
"34","FL",2010,2557785,2619335,5359614,0.488717097910409
"35","GA",1974,646777,646777,936438,0.690677866553899
"36","GA",1978,128139,534572,662862,0.806460469901729
"37","GA",1982,434496,734090,1169041,0.627942048225854
"38","GA",1986,346512,828465,1174977,0.705090397514164
"39","GA",1990,645625,766662,1449652,0.528859340034712
"40","GA",1994,756371,788926,1545297,0.510533573804906
"41","GA",1998,790201,941076,1792882,0.524895670769186
"42","GA",2002,937070,1041700,2027177,0.513867314003661
"43","GA",2006,811049,1229724,2122258,0.579441330884369
"44","GA",2010,1107011,1365832,2576161,0.530181149392449
"45","IN",1972,990489,1203903,2194392,0.548627136810561
"46","IN",1976,927243,1236555,2175324,0.568446355577376
"47","IN",1980,913116,1257383,2178403,0.577204034331572
"48","IN",1984,1036922,1146497,2197988,0.521612037918314
"49","IN",1988,1002207,1138574,2140781,0.531849824900352
"50","IN",1992,822533,1382151,2229062,0.620059468960486
"51","IN",1996,956982,1087128,2080047,0.522645882520924
"52","IN",2000,908285,1232525,2179268,0.565568346802688
"53","IN",2004,1113900,1302912,2448498,0.532127042782963
"54","IN",2008,1082463,1563885,2703752,0.578412886980759
"55","IN",2012,1200016,1275424,2577329,0.494862704761402
"56","KS",1974,384115,387792,783875,0.494711529261681
"57","KS",1978,348015,363835,736246,0.494175859699068
"58","KS",1982,339356,405772,763263,0.531628023368092
"59","KS",1986,404338,436267,840605,0.518991678612428
"60","KS",1990,333589,380609,783325,0.485888998819136
"61","KS",1994,294733,526113,820846,0.640939957068683
"62","KS",1998,168243,544882,742665,0.733684770387725
"63","KS",2002,376830,441858,835692,0.528733073907612
"64","KS",2006,343586,491993,849700,0.579019653995528
"65","KS",2010,270166,530760,838790,0.632768631004185
"66","KY",1991,294592,540468,835060,0.647220559001748
"67","KY",1995,479227,500605,983797,0.508849894846193
"68","KY",1999,128788,352099,580074,0.606989797853377
"69","KY",2003,487159,596284,1083443,0.550360286604833
"70","KY",2007,435773,619552,1055325,0.587072228934215
"71","KY",2011,294034,464245,833139,0.557223944623886
"72","LA",1972,480424,641146,1121570,0.57165045427392
"73","LA",1975,292220,750107,1203004,0.623528267570183
"74","LA",1979,681134,690691,1371825,0.503483316020629
