"","year","state","st","gov_name","term_in_office","gov_party","term_length","limit_type","lame_duck_last_term","gub_election","gov_pres_same_elect_year","gov_pres_same_party","unemployment","state_cpi","gross_state_product","change_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","stimson_mood.1","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"1",1950,"Alabama","AL","Folsom, James E.",1,1,4,1,1,1,0,0,NA,NA,NA,NA,0.52916503,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",1951,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,0,NA,NA,NA,NA,0.5283702475,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,149231,275075,NA,426120,0.35,0.646,NA,NA,NA,1
"3",1955,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,0.5563047525,NA,NA,45.9536666666667,0.73369998,45.9536666666667,NA,NA,NA,NA,NA,NA,NA,NA,195694,280844,NA,496861,0.394,0.565,NA,NA,NA,0
"4",1959,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,1,NA,0.081918667,NA,NA,0.5338902625,40.976767,NA,51.3164995,0.88739997,51.3164995,NA,NA,NA,NA,NA,NA,NA,NA,237981,324050,NA,570225,0.417,0.568,NA,NA,NA,0
"5",1963,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.09618075025,1295.25,0.113381162431784,0.5143949975,23.3974,NA,58.56225,1,58.56225,NA,NA,NA,NA,NA,NA,NA,0.24,479085,NA,NA,689818,0.695,0,NA,0.321052631578947,0.517368421052632,1
"6",1967,"Alabama","AL","Wallace, Lurleen B.",1,1,4,1,1,0,0,0,NA,0.110822,1643,0.0997322623828647,0.546992,10.8613,NA,60.416,0.67150003,60.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7",1968,"Alabama","AL","Wallace, Lurleen B. then Albert Brewer",1,1,4,1,1,0,0,0,NA,0.120643,1899,0.15581253804017,0.56813002,6.3101201,NA,58.048,0.67150003,58.048,NA,NA,NA,NA,NA,NA,NA,NA,146923,196579,691425,1049922,0.14,0.187,0.659,NA,NA,1
"8",1969,"Alabama","AL","Brewer, Albert P.",1,1,4,2,0,0,0,1,NA,0.140122,2216,0.114795737569244,0.578704505,15.0118995,NA,54.246,0.67150003,54.246,217906,637046,854952,0.7451,0.254875127492538,0.490224872507462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"9",1971,"Alabama","AL","Wallace, George C.",2,1,4,2,0,0,0,1,10.87499995,0.3119253725,13002.875,0.0536130029989001,0.582056635,27.114874875,-0.23259149725,47.916374625,1,47.916374625,312772,596888.5,917267.5,0.6974,0.291118006237083,0.406281993762917,0.404958333333333,0.570208333333333,800775,404411,NA,1223912,0.6645,0.319,NA,0.5375,0.465,0
"10",1975,"Alabama","AL","Wallace, George C.",3,1,4,2,1,0,0,1,7.050000075,0.251761995,7591,0.24412326681401,0.5338725025,24.8226995,-0.153900995666667,45.121251,0.84920001,45.121251,196963,551886,760474,0.7257,0.259000307702827,0.466699692297172,NA,NA,504070,659170,NA,1182850,0.426,0.557,NA,NA,NA,0
"11",1979,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",1,1,4,2,0,0,0,0,10.150000025,0.3658510025,17864.5,0.274788010453707,0.5723647475,27.30787525,-0.2863407525,43.181001,0.73699999,43.181001,440815,650538,1128725,0.5763,0.390542426188841,0.185757573811159,0.257833333333333,0.716833333333333,654192,636730,16481,1341929,0.488,0.474,0.012,0.418888888888889,0.581111111111111,1
"12",1987,"Alabama","AL","Hunt, Guy",1,0,4,2,0,0,0,0,7.20000005,0.516269005,23172,0.0733253238140086,0.8038267475,38.71367475,-0.3121142475,46.7974995,0.4355,46.7974995,582106,633519,1216250,0.5209,0.478607194244604,0.0422928057553957,0.564270833333333,0.379955357142857,815576,549506,NA,1378476,0.592,0.399,NA,0.53375,0.4675,0
"13",1991,"Alabama","AL","Hunt, Guy",2,0,4,2,1,0,0,0,7.25,0.57909602,22518,-0.0445057606702858,0.835385505,39.715601,-0.260184995,43.9629995,0.47889999,43.9629995,NA,NA,NA,NA,NA,NA,0.394404761904762,0.579880952380952,804283,690080,183109,1688060,0.476,0.409,0.108,0.5475,0.4225,0
"14",1993,"Alabama","AL","Hunt, Guy and then James Folsom Jr.",1,0.6931507,4,2,0,0,0,0,7.5,0.60348701,23284,0.0233375818573376,0.795156,39.017101,-0.40968701,42.784,0.47889999,42.784,NA,NA,NA,NA,NA,NA,0.385,0.501666666666667,NA,NA,NA,NA,NA,NA,NA,0.31,0.69,1
"15",1994,"Alabama","AL","Folsom, James E. Jr.",1,1,4,2,0,1,0,0,6,0.61993599,23605,0.0137862910152895,0.80840403,39.415001,-0.30274501,40.125,0.4955,40.125,594169,604926,1201969,0.5033,0.494329720650033,0.00897027934996658,0.375,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.643333333333333,1
"16",1995,"Alabama","AL","James, Forrest H. """"""""Fob"""""""" Jr.",2,0,4,2,0,0,0,1,4.9999999,0.66420451,25167.25,-0.00092382116156605,0.8689067375,35.05247575,-0.26359851,36.80850025,0.4955,36.80850025,554746,760155,1317842,0.5768,0.420950311190568,0.155849688809432,0.451818181818182,0.495555555555555,769044,662165,92149,1534349,0.501,0.432,0.06,0.374166666666667,0.620833333333333,1
"17",1999,"Alabama","AL","Siegelman, Donald",1,1,4,2,0,0,0,0,5.1500001,0.73557849,26603.25,0.055348986577052,0.81077075,36.1099995,-0.2115932525,38.92999925,0.57870001,38.92999925,669105,672225,1367053,0.4917,0.489450665043711,0.00224933495628921,0.551666666666667,0.3025,941173,692611,18323,1666272,0.565,0.416,0.011,0.47,0.48,1
"18",2003,"Alabama","AL","Riley, Bob",1,0,4,2,0,0,0,0,5.04166676666667,0.8258412625,36239.25,0.0970330535312011,0.89503625,37.1209495,-0.277698995,38.63324925,0.49880001,38.63324925,519827,718327,1250401,0.5745,0.41572823438241,0.15877176561759,0.504722222222222,0.423472222222222,1176394,693933,NA,1883449,0.625,0.368,NA,0.536547619047619,0.4325,0
"19",2007,"Alabama","AL","Riley, Bob",2,0,4,2,1,0,0,0,7.80625000000002,0.9326869975,47188.5,0.043193298386644,0.956423745,35.53522475,-0.26935025,37.48275025,0.41980001,37.48275025,625710,860472,1494273,0.5758,0.418738744526603,0.157061255473397,0.624333333333333,0.341111111111111,1266546,813479,NA,2099819,0.603,0.387,NA,0.441051541051541,0.522191142191142,0
