"","year","state","st","gov_name","term_in_office","gov_party","last_term","term_length","limit_type","lame_duck_last_term","gov_pres_same_elect_year","gov_pres_same_party","winner_endorsements","winner_primary_candidates","runnerup_endorsements","runnerup_primary_candidates","unemployment","state_cpi","gross_state_product","change_gsp","total_debt_outstanding_gsp","change_total_debt_outstanding_gsp","scaled_total_debt_outstanding_gsp","change_scaled_total_debt_outstanding_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"1",1959,"Alaska","AK","Egan, William A.",1,1,0,4,2,0,0,1,NA,NA,NA,NA,NA,0.142234333333333,NA,NA,NA,NA,NA,NA,0.765711485,69.5708006666667,NA,49.6513326666667,0.602,NA,NA,NA,NA,NA,NA,NA,NA,30953,29809,NA,60762,0.509,0.491,NA,NA,NA,0
"2",1963,"Alaska","AK","Egan, William A.",2,1,0,4,2,0,0,0,NA,NA,NA,NA,NA,0.158467505,8601,0.102811687704351,7.013040175,0.218455481182898,3.0513830354,0.828855862233148,0.8589992525,65.16639975,NA,52.929001,0.52270001,NA,NA,NA,NA,NA,NA,NA,NA,22930,44329,NA,67259,0.341,0.659,NA,NA,NA,1
"3",1967,"Alaska","AK","Hickel, Walter J.",1,0,0,4,2,0,0,1,NA,NA,NA,NA,NA,0.180303,10515,0.0564164695065781,9.33576535,0.051589248281629,5.0451967567,0.0717026886390023,0.964655995,50.0345,NA,55.0310005,0.49169999,NA,NA,NA,NA,NA,NA,NA,NA,37600,35411,10024,83035,0.453,0.426,0.121,NA,NA,1
"4",1969,"Alaska","AK","Miller, Keith H.",1,0,1,4,2,0,0,0,NA,NA,NA,NA,NA,0.204284505,12170.5,0.0661553136992183,9.2975702,0.00604246059386737,4.9068007639,0.00119672327620585,0.93042502,62.9191495,NA,47.8845005,0.49169999,37264,42309,80779,0.5238,0.461308013221258,0.0624919867787421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5",1971,"Alaska","AK","Egan, William A.",3,1,1,4,2,0,0,1,NA,NA,NA,NA,NA,0.242024495,16465.5,0.117603372430904,13.4453,0.109412830236465,8.79196494655,0.183135243593134,0.96104674,63.4752005,NA,45.5964995,0.53170002,45553,45840,96163,0.4767,0.473706103178977,0.00299389682102263,NA,NA,55349,32967,NA,95219,0.581,0.346,NA,NA,NA,0
"6",1975,"Alaska","AK","Hammond, Jay S.",1,0,0,4,2,0,0,0,NA,NA,NA,NA,8.82499985,0.333243005,25735.25,0.11961245381733,11.74985,-0.0254736355628739,6.93643524795,-0.0468705842955622,0.94029075,44.5808755,NA,42.6849995,0.4984,49580,51674,126910,0.4072,0.39067055393586,0.01652944606414,NA,NA,71555,44058,NA,123574,0.579,0.357,NA,NA,NA,0
"7",1979,"Alaska","AK","Hammond, Jay S.",2,0,1,4,2,1,0,1,NA,NA,NA,NA,9.4749999,0.460857005,37972.25,0.0818417052183817,12.346625,0.0857409122080769,6.88853755015,0.156469634185648,0.9888582525,39.09647475,NA,36.5055,0.34099999,72291,89918,194885,0.4614,0.370941837493907,0.0904581625060933,NA,NA,86112,41842,11155,158445,0.543,0.264,0.07,NA,NA,1
"8",1983,"Alaska","AK","Sheffield, Bill",1,1,1,4,2,0,0,1,NA,NA,NA,NA,10.19999995,0.5336657325,51411.75,0.0768426793343432,25.49127475,0.259581738759304,18.80038471275,0.349852443084344,0.99585548,46.82332425,NA,38.831251,0.55430001,76515,84943,179555,0.4731,0.426136838294673,0.0469631617053271,NA,NA,138377,62007,NA,207605,0.667,0.299,NA,NA,NA,0
"9",1987,"Alaska","AK","Cowper, Steve C.",1,1,1,4,2,0,0,1,NA,NA,NA,NA,7.925000025,0.592619745,66691,0.0629879760043431,25.4337,-0.108477390996925,18.3069566949,-0.134812847522313,0.993236005,52.6271745,NA,41.17525,0.52609998,60201,75721,194750,0.3888,0.309119383825417,0.0796806161745828,NA,NA,119251,72584,NA,200116,0.596,0.363,NA,NA,NA,0
"10",1991,"Alaska","AK","Hickel, Walter J.",2,0.5,1,4,2,0,0,0,NA,NA,NA,NA,8.22500015,0.676045255,82991,0.0591530364061202,19.91609975,-0.0847631495616627,12.6257683394,-0.12946869176044,0.9867554925,48.358225,NA,38.90299975,0.54140002,87157,87693,213435,0.4109,0.408353831377234,0.00254616862276574,0.2575,0.695,102000,78294,73481,258506,0.395,0.303,0.284,0.39,0.54,0
"11",1995,"Alaska","AK","Knowles, Tony",1,1,0,4,2,0,0,0,NA,NA,NA,NA,7.350000125,0.739632995,101058,0.0427338465511225,13.48855,0.0296966485013339,6.8181092295,0.0829969162718222,0.958495005,33.9071745,-0.223568,29.38550075,0.50150001,57740,93969,186631,0.5035,0.309380542353628,0.194119457646372,0.47,0.49,122746,80380,26333,241620,0.508,0.333,0.109,0.36,0.64,1
"12",1999,"Alaska","AK","Knowles, Tony",2,1,1,4,2,1,0,0,NA,NA,NA,NA,6.75,0.8317857525,118326.25,0.0412652915423683,16.75525,0.0320357696671607,9.9400756995,0.0433731316025603,0.9437547475,28.55074975,-0.200529252,32.6112505,0.72909999,94216,129279,231484,0.5585,0.407008691745434,0.151491308254566,NA,NA,167398,79004,28747,285560,0.586,0.277,0.101,0.44,0.54,1
"13",2003,"Alaska","AK","Murkowski, Frank H.",1,0,1,4,2,0,0,0,NA,NA,NA,NA,7.25208333333333,0.9770485025,145820,0.0622458942187624,16.402825,-0.048243779647807,9.1984353695,-0.0868770053136796,0.8235202575,41.37344925,-0.1809415,39.24500075,0.42160001,97238,114697,237322,0.4833,0.409730239927188,0.0735697600728125,0.330432900432901,0.686233766233766,190889,111025,NA,312598,0.611,0.355,NA,0.47948051948052,0.487597402597402,0
"14",2007,"Alaska","AK","Palin, Sarah H.",1,0,1,4,2,0,0,0,NA,NA,NA,NA,6.93055555555555,1.12694666666667,167498,0.0158698564817527,14.0881333333333,-0.0104811948868834,6.246964386,-0.053352052246427,0.849874993333333,63.716231,-0.246535,44.4446666666667,0.45879999,NA,NA,NA,NA,NA,NA,0.718847222222222,0.203513888888889,193841,123594,NA,326197,0.594,0.379,NA,0.4,0.595,0
"15",2010,"Alaska","AK","Parnell, Sean",1,0,1,4,2,0,0,0,NA,NA,NA,NA,7.28833333333333,1.14902,172567,0.034456506752828,12.9898,-0.0959718278492289,4.816020036,-0.22558316522469,0.92911202,55.34292375,-0.502388995,41.257,0.38940001,112477,142988,268075,0.5358,0.417755014259531,0.118044985740469,NA,NA,164676,122640,NA,300495,0.548,0.408,NA,NA,NA,1
"16",2015,"Alaska","AK","Walker, Bill",1,0.5,1,4,2,0,0,0,NA,NA,NA,NA,6.86111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163387,116454,18725,318608,0.513,0.366,0.059,NA,NA,1
"17",1950,"Alabama","AL","Folsom, James E.",1,1,0,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52916503,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"18",1951,"Alabama","AL","Persons, Gordon",1,1,1,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5283702475,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,149231,275075,NA,426120,0.35,0.646,NA,NA,NA,1
