"","state","year","total_popular_votes","Republican_Popular_Vote","Percent_Republican_Popular_Vote","Democrat_Popular_Votes","Percent_Democrat_Popular_Vote","Third_Party_Popular_Vote","Percent_Third_Party_Popular_Vote"
"11","Alabama",1952,"426,120","149,231","35.0","275,075","64.6",NA,NA
"12","Arizona",1952,"260,570","152,042","58.3","108,528","41.7",NA,NA
"13","Arkansas",1952,"404,800","177,155","43.8","226,300","55.9",NA,NA
"14","California",1952,"5,141,849","2,897,310","56.3","2,197,548","42.7",NA,NA
"15","Colorado",1952,"630,103","379,782","60.3","245,504","39.0",NA,NA
"16","Connecticut",1952,"1,096,911","611,012","55.7","481,649","43.9",NA,NA
"17","Delaware",1952,"174,025","90,059","51.8","83,315","47.9",NA,NA
"18","Florida",1952,"989,337","544,036","55.0","444,950","45.0",NA,NA
"19","Georgia",1952,"655,785","198,961","30.3","456,823","69.7",NA,NA
"20","Idaho",1952,"276,254","180,707","65.4","95,081","34.4",NA,NA
"21","Illinois",1952,"4,481,058","2,457,327","54.8","2,013,920","44.9",NA,NA
"22","Indiana",1952,"1,955,049","1,136,259","58.1","801,530","41.0",NA,NA
"23","Iowa",1952,"1,268,773","808,906","63.8","451,513","35.6",NA,NA
"24","Kansas",1952,"896,166","616,302","68.8","273,296","30.5",NA,NA
"25","Kentucky",1952,"993,148","495,029","49.8","495,729","49.9",NA,NA
"26","Louisiana",1952,"651,952","306,925","47.1","345,027","52.9",NA,NA
"27","Maine",1952,"351,786","232,353","66.0","118,806","33.8",NA,NA
"28","Maryland",1952,"902,074","499,424","55.4","395,337","43.8",NA,NA
"29","Massachusetts",1952,"2,383,398","1,292,325","54.2","1,083,525","45.5",NA,NA
"30","Michigan",1952,"2,798,592","1,551,529","55.4","1,230,657","44.0",NA,NA
"31","Minnesota",1952,"1,379,483","763,211","55.3","608,458","44.1",NA,NA
"32","Mississippi",1952,"285,532","112,966","39.6","172,566","60.4",NA,NA
"33","Missouri",1952,"1,892,062","959,429","50.7","929,830","49.1",NA,NA
"34","Montana",1952,"265,037","157,394","59.4","106,213","40.1",NA,NA
"35","Nebraska",1952,"609,660","421,603","69.2","188,057","30.8",NA,NA
"36","Nevada",1952,"82,190","50,502","61.4","31,688","38.6",NA,NA
"37","New Hampshire",1952,"272,950","166,287","60.9","106,663","39.1",NA,NA
"38","New Jersey",1952,"2,418,554","1,373,613","56.8","1,015,902","42.0",NA,NA
"39","New Mexico",1952,"238,608","132,170","55.4","105,661","44.3",NA,NA
"40","New York",1952,"7,128,239","3,952,813","55.5","3,104,601","43.6",NA,NA
"41","North Carolina",1952,"1,210,910","558,107","46.1","652,803","53.9",NA,NA
"42","North Dakota",1952,"270,127","191,712","71.0","76,694","28.4",NA,NA
"43","Ohio",1952,"3,700,758","2,100,391","56.8","1,600,367","43.2",NA,NA
"44","Oklahoma",1952,"948,984","518,045","54.6","430,939","45.4",NA,NA
"45","Oregon",1952,"695,059","420,815","60.5","270,579","38.9",NA,NA
"46","Pennsylvania",1952,"4,580,969","2,415,789","52.7","2,146,269","46.9",NA,NA
"47","Rhode Island",1952,"414,498","210,935","50.9","203,293","49.0",NA,NA
"48","South Carolina",1952,"341,087","9,793","2.9","173,004","50.7",NA,NA
"49","South Dakota",1952,"294,283","203,857","69.3","90,426","30.7",NA,NA
