"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Green Party Votes","Percent Green Party Votes"
"9","Alabama","1,666,272","941,173","56.5","692,611","41.6","18,323","1.1"
"10","Alaska","285,560","167,398","58.6","79,004","27.7","28,747","10.1"
"11","Arizona","1,532,016","781,652","51.0","685,341","44.7","45,645","3.0"
"12","Arkansas","921,781","472,940","51.3","422,768","45.9","13,421","1.5"
"13","California","10,965,856","4,567,429","41.7","5,861,203","53.4","418,707","3.8"
"14","Colorado","1,741,368","883,748","50.8","738,227","42.4","91,434","5.3"
"15","Connecticut","1,459,525","561,094","38.4","816,015","55.9","64,452","4.4"
"16","Delaware","327,622","137,288","41.9","180,068","55.0","8,307","2.5"
"17","Dist. of Col.*","201,894","18,073","9.0","171,923","85.2","10,576","5.2"
"18","Florida","5,963,110","2,912,790","48.8","2,912,253","48.8","97,488","1.6"
"19","Georgia","2,596,645","1,419,720","54.7","1,116,230","43.0","13,273","0.5"
"20","Hawaii","367,951","137,845","37.5","205,286","55.8","21,623","5.9"
"21","Idaho","501,621","336,937","67.2","138,637","27.6","12,292","2.5"
"22","Illinois","4,742,123","2,019,421","42.6","2,589,026","54.6","103,759","2.2"
"23","Indiana","2,199,302","1,245,836","56.6","901,980","41.0","18,531","0.8"
"24","Iowa","1,315,563","634,373","48.2","638,517","48.5","29,374","2.2"
"25","Kansas","1,072,218","622,332","58.0","399,276","37.2","36,086","3.4"
"26","Kentucky","1,544,187","872,492","56.5","638,898","41.4","23,192","1.5"
"27","Louisiana","1,765,656","927,871","52.6","792,344","44.9","20,473","1.2"
"28","Maine","651,817","286,616","44.0","319,951","49.1","37,127","5.7"
"29","Maryland","2,020,480","813,797","40.3","1,140,782","56.5","53,768","2.7"
"30","Massachusetts","2,702,984","878,502","32.5","1,616,487","59.8","173,564","6.4"
"31","Michigan","4,232,711","1,953,139","46.1","2,170,418","51.3","84,165","2.0"
"32","Minnesota","2,438,685","1,109,659","45.5","1,168,266","47.9","126,696","5.2"
"33","Mississippi","994,184","572,844","57.6","404,614","40.7","8,122","0.8"
"34","Missouri","2,359,892","1,189,924","50.4","1,111,138","47.1","38,515","1.6"
"35","Montana","410,997","240,178","58.4","137,126","33.4","24,437","5.9"
"36","Nebraska","697,019","433,862","62.2","231,780","33.3","24,540","3.5"
"37","Nevada","608,970","301,575","49.5","279,978","46.0","15,008","2.5"
"38","New Hampshire","569,081","273,559","48.1","266,348","46.8","22,198","3.9"
"39","New Jersey","3,187,226","1,284,173","40.3","1,788,850","56.1","94,554","3.0"
"40","New Mexico","598,605","286,417","47.8","286,783","47.9","21,251","3.6"
"41","New York","6,821,999","2,403,374","35.2","4,107,697","60.2","244,030","3.6"
"42","North Carolina","2,911,262","1,631,163","56.0","1,257,692","43.2","--","0.0"
"43","North Dakota","288,256","174,852","60.7","95,284","33.1","9,486","3.3"
"44","Ohio","4,701,998","2,350,363","50.0","2,183,628","46.4","117,799","2.5"
"45","Oklahoma","1,234,229","744,337","60.3","474,276","38.4","--","0.0"
"46","Oregon","1,533,968","713,577","46.5","720,342","47.0","77,357","5.0"
"47","Pennsylvania","4,913,119","2,281,127","46.4","2,485,967","50.6","103,392","2.1"
"48","Rhode Island","409,047","130,555","31.9","249,508","61.0","25,052","6.1"
"49","South Carolina","1,382,717","785,937","56.8","565,561","40.9","20,200","1.5"
"50","South Dakota","316,269","190,700","60.3","118,804","37.6","--","0.0"
"51","Tennessee","2,076,181","1,061,949","51.1","981,720","47.3","19,781","1.0"
"52","Texas","6,407,637","3,799,639","59.3","2,433,746","38.0","137,994","2.2"
"53","Utah","770,754","515,096","66.8","203,053","26.3","35,850","4.7"
"54","Vermont","294,308","119,775","40.7","149,022","50.6","20,374","6.9"
"55","Virginia","2,739,447","1,437,490","52.5","1,217,290","44.4","59,398","2.2"
"56","Washington","2,487,433","1,108,864","44.6","1,247,652","50.2","103,002","4.1"
"57","West Virginia","648,124","336,475","51.9","295,497","45.6","10,680","1.6"
"58","Wisconsin","2,598,607","1,237,279","47.6","1,242,987","47.8","94,070","3.6"
"59","Wyoming","218,351","147,947","67.8","60,481","27.7","4,625","2.1"
