"","state","total votes","Democrat Votes","Percent Democrat Votes","Republican Votes","Percent Republican Votes"
"11","Alabama","2,074,338","795,696","38.4%","1,255,925","60.5%"
"12","Alaska","300,495","122,640","40.8%","164,676","54.8%"
"13","Arizona","2,299,254","1,025,232","44.6%","1,233,654","53.7%"
"14","Arkansas","1,069,468","394,409","36.9%","647,744","60.6%"
"15","California","13,038,547","7,854,285","60.2%","4,839,958","37.1%"
"16","Colorado","2,569,520","1,323,101","51.5%","1,185,243","46.1%"
"17","Connecticut","1,558,960","905,083","58.1%","634,892","40.7%"
"18","Delaware","413,921","242,584","58.6%","165,484","40.0%"
"19","Dist. of Col.","293,764","267,070","90.9%","21,381","7.3%"
"20","Florida","8,474,179","4,237,756","50.0%","4,163,447","49.1%"
"21","Georgia","3,900,050","1,773,827","45.5%","2,078,688","53.3%"
"22","Hawaii","434,697","306,658","70.5%","121,015","27.8%"
"23","Idaho","652,274","212,787","32.6%","420,911","64.5%"
"24","Illinois","5,242,014","3,019,512","57.6%","2,135,216","40.7%"
"25","Indiana","2,624,534","1,152,887","43.9%","1,420,543","54.1%"
"26","Iowa","1,582,180","822,544","52.0%","730,617","46.2%"
"27","Kansas","1,159,971","440,726","38.0%","692,634","59.7%"
"28","Kentucky","1,797,212","679,370","37.8%","1,087,190","60.5%"
"29","Louisiana","1,994,065","809,141","40.6%","1,152,262","57.8%"
"30","Maine","713,180","401,306","56.3%","292,276","41.0%"
"31","Maryland","2,707,327","1,677,844","62.0%","971,869","35.9%"
"32","Massachusetts","3,167,767","1,921,290","60.7%","1,188,314","37.5%"
"33","Michigan","4,730,961","2,564,569","54.2%","2,115,256","44.7%"
"34","Minnesota","2,936,561","1,546,167","52.7%","1,320,225","45.0%"
"35","Mississippi","1,285,584","562,949","43.8%","710,746","55.3%"
"36","Missouri","2,757,323","1,223,796","44.4%","1,482,440","53.8%"
"37","Montana","484,048","201,839","41.7%","267,928","55.4%"
"38","Nebraska","794,379","302,081","38.0%","475,064","59.8%"
"39","Nevada","1,014,918","531,373","52.4%","463,567","45.7%"
"40","New Hampshire","710,972","369,561","52.0%","329,918","46.5%"
"41","New Jersey","3,638,499","2,122,786","58.3%","1,478,088","40.6%"
"42","New Mexico","783,758","415,335","53.0%","335,788","42.8%"
"43","New York","7,061,925","4,471,871","63.4%","2,485,432","35.2%"
"44","North Carolina","4,505,372","2,178,391","48.4%","2,270,395","50.4%"
"45","North Dakota","322,932","124,966","38.7%","188,320","58.3%"
"46","Ohio","5,580,822","2,827,621","50.7%","2,661,407","47.7%"
"47","Oklahoma","1,334,872","443,547","33.2%","891,325","66.8%"
"48","Oregon","1,789,270","970,488","54.2%","754,175","42.1%"
"49","Pennsylvania","5,753,670","2,990,274","52.1%","2,680,434","46.7%"
"50","Rhode Island","446,049","279,677","62.7%","157,204","35.2%"
"51","South Carolina","1,964,118","865,941","44.1%","1,071,645","54.6%"
"52","South Dakota","363,815","145,039","39.9%","210,610","57.9%"
"53","Tennessee","2,458,577","960,709","39.1%","1,462,330","59.5%"
"54","Texas","7,993,851","3,308,124","41.4%","4,569,843","57.2%"
"55","Utah","1,017,440","251,813","24.7%","740,600","72.8%"
"56","Vermont","299,290","199,239","66.6%","92,698","31.0%"
"57","Virginia","3,854,490","1,971,820","51.2%","1,822,522","47.3%"
"58","Washington","3,125,516","1,755,396","56.2%","1,290,670","41.3%"
"59","West Virginia","670,438","238,269","35.5%","417,655","62.3%"
"60","Wisconsin","3,071,434","1,620,985","52.9%","1,410,966","46.0%"
"61","Wyoming","249,061","69,286","27.8%","170,962","68.6%"
