"","state","total votes","Democrat Votes","Percent Democrat Votes","Republican Votes","Percent Republican Votes","Libertarian Votes","Percent Libertarian Votes"
"13","Alabama","2,123,372","729,547","34.4%","1,318,255","62.1%","44,467","2.1%"
"14","Alaska","318,608","116,454","36.6%","163,387","51.3%","18,725","5.9%"
"15","Arizona","2,573,165","1,161,167","45.1%","1,252,401","48.7%","106,327","4.1%"
"16","Arkansas","1,130,635","380,494","33.7%","684,872","60.6%","29,829","2.6%"
"17","California","14,181,595","8,753,788","61.7%","4,483,810","31.6%","478,500","3.4%"
"18","Colorado","2,780,220","1,338,870","48.2%","1,202,484","43.3%","144,121","5.2%"
"19","Connecticut","1,644,920","897,572","54.6%","673,215","40.9%","48,676","3.0%"
"20","Delaware","441,590","235,603","53.4%","185,127","41.9%","14,757","3.3%"
"21","Dist. of Col.","311,268","282,830","90.9%","12,723","4.1%","4,906","1.6%"
"22","Florida","9,420,039","4,504,975","47.8%","4,617,886","49.0%","207,043","2.2%"
"23","Georgia","4,092,373","1,877,963","45.9%","2,089,104","51.0%","125,306","3.1%"
"24","Hawaii","428,937","266,891","62.2%","128,847","30.0%","15,954","3.7%"
"25","Idaho","690,255","189,765","27.5%","409,055","59.3%","28,331","4.1%"
"26","Illinois","5,536,424","3,090,729","55.8%","2,146,015","38.8%","209,596","3.8%"
"27","Indiana","2,734,958","1,033,126","37.8%","1,557,286","56.9%","133,993","4.9%"
"28","Iowa","1,566,031","653,669","41.7%","800,983","51.1%","59,186","3.8%"
"29","Kansas","1,184,402","427,005","36.1%","671,018","56.7%","55,406","4.7%"
"30","Kentucky","1,924,149","628,854","32.7%","1,202,971","62.5%","53,752","2.8%"
"31","Louisiana","2,029,032","780,154","38.4%","1,178,638","58.1%","37,978","1.9%"
"32","Maine","747,927","357,735","47.8%","335,593","44.9%","38,105","5.1%"
"33","Maryland","2,781,446","1,677,928","60.3%","943,169","33.9%","79,605","2.9%"
"34","Massachusetts","3,325,046","1,995,196","60.0%","1,090,893","32.8%","138,018","4.2%"
"35","Michigan","4,799,284","2,268,839","47.3%","2,279,543","47.5%","172,136","3.6%"
"36","Minnesota","2,944,813","1,367,716","46.4%","1,322,951","44.9%","112,972","3.8%"
"37","Mississippi","1,209,357","485,131","40.1%","700,714","57.9%","14,435","1.2%"
"38","Missouri","2,808,605","1,071,068","38.1%","1,594,511","56.8%","97,359","3.5%"
"39","Montana","494,526","177,709","35.9%","279,240","56.5%","28,037","5.7%"
"40","Nebraska","844,227","284,494","33.7%","495,961","58.7%","38,946","4.6%"
"41","CD-1","282,338","100,126","35.5%","158,626","56.2%","14,031","5.0%"
"42","CD-2","291,680","131,030","44.9%","137,564","47.2%","13,245","4.5%"
"43","CD-3","270,109","53,290","19.7%","199,657","73.9%","11,657","4.3%"
"44","Nevada","1,125,385","539,260","47.9%","512,058","45.5%","37,384","3.3%"
"45","New Hampshire","744,296","348,526","46.8%","345,790","46.5%","30,777","4.1%"
"46","New Jersey","3,874,046","2,148,278","55.5%","1,601,933","41.4%","72,477","1.9%"
"47","New Mexico","798,318","385,234","48.3%","319,666","40.0%","74,541","9.3%"
"48","New York","7,721,453","4,556,124","59.0%","2,819,534","36.5%","176,598","2.3%"
"49","North Carolina","4,741,564","2,189,316","46.2%","2,362,631","49.8%","130,126","2.7%"
"50","North Dakota","344,360","93,758","27.2%","216,794","63.0%","21,434","6.2%"
"51","Ohio","5,496,487","2,394,164","43.6%","2,841,005","51.7%","174,498","3.2%"
"52","Oklahoma","1,452,992","420,375","28.9%","949,136","65.3%","83,481","5.7%"
"53","Oregon","2,001,336","1,002,106","50.1%","782,403","39.1%","94,231","4.7%"
"54","Pennsylvania","6,115,402","2,926,441","47.9%","2,970,733","48.6%","146,715","2.4%"
"55","Rhode Island","464,144","252,525","54.4%","180,543","38.9%","14,746","3.2%"
"56","South Carolina","2,103,027","855,373","40.7%","1,155,389","54.9%","49,204","2.3%"
"57","South Dakota","370,093","117,458","31.7%","227,721","61.5%","20,850","5.6%"
"58","Tennessee","2,508,027","870,695","34.7%","1,522,925","60.7%","70,397","2.8%"
"59","Texas","8,969,226","3,877,868","43.2%","4,685,047","52.2%","283,492","3.2%"
"60","Utah","1,131,430","310,676","27.5%","515,231","45.5%","39,608","3.5%"
"61","Vermont","315,067","178,573","56.7%","95,369","30.3%","10,078","3.2%"
"62","Virginia","3,982,752","1,981,473","49.8%","1,769,443","44.4%","118,274","3.0%"
"63","Washington","3,209,214","1,742,718","54.3%","1,221,747","38.1%","160,879","5.0%"
"64","West Virginia","713,051","188,794","26.5%","489,371","68.6%","23,004","3.2%"
"65","Wisconsin","2,976,150","1,382,536","46.5%","1,405,284","47.2%","106,674","3.6%"
"66","Wyoming","255,849","55,973","21.9%","174,419","68.2%","13,287","5.2%"
