"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes","Third Party Vote","Percent Third Party Vote","year"
"11","Alabama","496,861","195,694","39.4","280,844","56.5",NA,NA,1956
"12","Arizona","290,173","176,990","61.0","112,880","38.9",NA,NA,1956
"13","Arkansas","406,572","186,287","45.8","213,277","52.5",NA,NA,1956
"14","California","5,466,355","3,027,668","55.4","2,420,135","44.3",NA,NA,1956
"15","Colorado","657,074","394,479","60.0","257,997","39.3",NA,NA,1956
"16","Connecticut","1,117,121","711,837","63.7","405,079","36.3",NA,NA,1956
"17","Delaware","177,988","98,057","55.1","79,421","44.6",NA,NA,1956
"18","Florida","1,125,762","643,849","57.2","480,371","42.7",NA,NA,1956
"19","Georgia","669,655","222,778","33.3","444,688","66.4",NA,NA,1956
"20","Idaho","272,989","166,979","61.2","105,868","38.8",NA,NA,1956
"21","Illinois","4,407,407","2,623,327","59.5","1,775,682","40.3",NA,NA,1956
"22","Indiana","1,974,607","1,182,811","59.9","783,908","39.7",NA,NA,1956
"23","Iowa","1,234,564","729,187","59.1","501,858","40.7",NA,NA,1956
"24","Kansas","866,243","566,878","65.4","296,317","34.2",NA,NA,1956
"25","Kentucky","1,053,805","572,192","54.3","476,453","45.2",NA,NA,1956
"26","Louisiana","617,544","329,047","53.3","243,977","39.5",NA,NA,1956
"27","Maine","351,706","249,238","70.9","102,468","29.1",NA,NA,1956
"28","Maryland","932,827","559,738","60.0","372,613","39.9",NA,NA,1956
"29","Massachusetts","2,348,506","1,393,197","59.3","948,190","40.4",NA,NA,1956
"30","Michigan","3,080,468","1,713,647","55.6","1,359,898","44.1",NA,NA,1956
"31","Minnesota","1,340,005","719,302","53.7","617,525","46.1",NA,NA,1956
"32","Mississippi","248,104","60,685","24.5","144,453","58.2",NA,NA,1956
"33","Missouri","1,832,562","914,289","49.9","918,273","50.1",NA,NA,1956
"34","Montana","271,171","154,933","57.1","116,238","42.9",NA,NA,1956
"35","Nebraska","577,137","378,108","65.5","199,029","34.5",NA,NA,1956
"36","Nevada","96,689","56,049","58.0","40,640","42.0",NA,NA,1956
"37","New Hampshire","266,994","176,519","66.1","90,364","33.8",NA,NA,1956
"38","New Jersey","2,484,312","1,606,942","64.7","850,337","34.2",NA,NA,1956
"39","New Mexico","253,926","146,788","57.8","106,098","41.8",NA,NA,1956
"40","New York","7,095,971","4,345,506","61.2","2,747,944","38.7",NA,NA,1956
"41","North Carolina","1,165,592","575,062","49.3","590,530","50.7",NA,NA,1956
"42","North Dakota","253,991","156,766","61.7","96,742","38.1",NA,NA,1956
"43","Ohio","3,702,265","2,262,610","61.1","1,439,655","38.9",NA,NA,1956
"44","Oklahoma","859,350","473,769","55.1","385,581","44.9",NA,NA,1956
"45","Oregon","736,132","406,393","55.2","329,204","44.7",NA,NA,1956
"46","Pennsylvania","4,576,503","2,585,252","56.5","1,981,769","43.3",NA,NA,1956
"47","Rhode Island","387,609","225,819","58.3","161,790","41.7",NA,NA,1956
"48","South Carolina","300,583","75,700","25.2","136,372","45.4",NA,NA,1956
"49","South Dakota","293,857","171,569","58.4","122,288","41.6",NA,NA,1956
"50","Tennessee","939,404","462,288","49.2","456,507","48.6",NA,NA,1956
"51","Texas","1,955,168","1,080,619","55.3","859,958","44.0",NA,NA,1956
"52","Utah","333,995","215,631","64.6","118,364","35.4",NA,NA,1956
"53","Vermont","152,978","110,390","72.2","42,549","27.8",NA,NA,1956
"54","Virginia","697,978","386,459","55.4","267,760","38.4",NA,NA,1956
"55","Washington","1,150,889","620,430","53.9","523,002","45.4",NA,NA,1956
"56","West Virginia","830,831","449,297","54.1","381,534","45.9",NA,NA,1956
"57","Wisconsin","1,550,558","954,844","61.6","586,768","37.8",NA,NA,1956
"58","Wyoming","124,127","74,573","60.1","49,554","39.9",NA,NA,1956
