"","state","total votes","Democrat Votes","Percent Democrat Votes","Republican Votes","Percent Republican Votes"
"9","Alabama*","570,225","324,050","56.8","237,981","41.7"
"10","Alaska","60,762","29,809","49.1","30,953","50.9"
"11","Arizona","398,491","176,781","44.4","221,241","55.5"
"12","Arkansas","428,509","215,049","50.2","184,508","43.1"
"13","California","6,506,578","3,224,099","49.6","3,259,722","50.1"
"14","Colorado","736,236","330,629","44.9","402,242","54.6"
"15","Connecticut","1,222,883","657,055","53.7","565,813","46.3"
"16","Delaware","196,683","99,590","50.6","96,373","49.0"
"17","Florida","1,544,176","748,700","48.5","795,476","51.5"
"18","Georgia","733,349","458,638","62.5","274,472","37.4"
"19","Hawaii","184,705","92,410","50.0","92,295","50.0"
"20","Idaho","300,450","138,853","46.2","161,597","53.8"
"21","Illinois","4,757,409","2,377,846","50.0","2,368,988","49.8"
"22","Indiana","2,135,360","952,358","44.6","1,175,120","55.0"
"23","Iowa","1,273,810","550,565","43.2","722,381","56.7"
"24","Kansas","928,825","363,213","39.1","561,474","60.4"
"25","Kentucky","1,124,462","521,855","46.4","602,607","53.6"
"26","Louisiana","807,891","407,339","50.4","230,980","28.6"
"27","Maine","421,767","181,159","43.0","240,608","57.0"
"28","Maryland","1,055,349","565,808","53.6","489,538","46.4"
"29","Massachusetts","2,469,480","1,487,174","60.2","976,750","39.6"
"30","Michigan","3,318,097","1,687,269","50.9","1,620,428","48.8"
"31","Minnesota","1,541,887","779,933","50.6","757,915","49.2"
"32","Mississippi*","298,171","108,362","36.3","73,561","24.7"
"33","Missouri","1,934,422","972,201","50.3","962,221","49.7"
"34","Montana","277,579","134,891","48.6","141,841","51.1"
"35","Nebraska","613,095","232,542","37.9","380,553","62.1"
"36","Nevada","107,267","54,880","51.2","52,387","48.8"
"37","New Hampshire","295,761","137,772","46.6","157,989","53.4"
"38","New Jersey","2,773,111","1,385,415","50.0","1,363,324","49.2"
"39","New Mexico","311,107","156,027","50.2","153,733","49.4"
"40","New York","7,291,079","3,830,085","52.5","3,446,419","47.3"
"41","North Carolina","1,368,556","713,136","52.1","655,420","47.9"
"42","North Dakota","278,431","123,963","44.5","154,310","55.4"
"43","Ohio","4,161,859","1,944,248","46.7","2,217,611","53.3"
"44","Oklahoma*","903,150","370,111","41.0","533,039","59.0"
"45","Oregon","776,421","367,402","47.3","408,060","52.6"
"46","Pennsylvania","5,006,541","2,556,282","51.1","2,439,956","48.7"
"47","Rhode Island","405,535","258,032","63.6","147,502","36.4"
"48","South Carolina","386,688","198,129","51.2","188,558","48.8"
"49","South Dakota","306,487","128,070","41.8","178,417","58.2"
"50","Tennessee","1,051,792","481,453","45.8","556,577","52.9"
"51","Texas","2,311,084","1,167,567","50.5","1,121,310","48.5"
"52","Utah","374,709","169,248","45.2","205,361","54.8"
"53","Vermont","167,324","69,186","41.3","98,131","58.6"
"54","Virginia","771,449","362,327","47.0","404,521","52.4"
"55","Washington","1,241,572","599,298","48.3","629,273","50.7"
"56","West Virginia","837,781","441,786","52.7","395,995","47.3"
"57","Wisconsin","1,729,082","830,805","48.0","895,175","51.8"
"58","Wyoming","140,782","63,331","45.0","77,451","55.0"
