"","state","total votes","Republican Votes","Percent Republican Votes","Democrat Votes","Percent Democrat Votes"
"10","Alabama","1,006,111","728,701","72.4","256,923","25.5"
"11","Alaska","95,219","55,349","58.1","32,967","34.6"
"12","Arizona","622,926","402,812","64.7","198,540","31.9"
"13","Arkansas","651,320","448,541","68.9","199,892","30.7"
"14","California","8,367,862","4,602,096","55.0","3,475,847","41.5"
"15","Colorado","953,884","597,189","62.6","329,980","34.6"
"16","Connecticut","1,384,277","810,763","58.6","555,498","40.1"
"17","Delaware","235,516","140,357","59.6","92,283","39.2"
"18","Dist. of Col.","163,421","35,226","21.6","127,627","78.1"
"19","Florida","2,583,283","1,857,759","71.9","718,117","27.8"
"20","Georgia","1,174,772","881,496","75.0","289,529","24.6"
"21","Hawaii","270,274","168,865","62.5","101,409","37.5"
"22","Idaho","310,379","199,384","64.2","80,826","26.0"
"23","Illinois","4,723,236","2,788,179","59.0","1,913,472","40.5"
"24","Indiana","2,125,529","1,405,154","66.1","708,568","33.3"
"25","Iowa","1,225,944","706,207","57.6","496,206","40.5"
"26","Kansas","916,095","619,812","67.7","270,287","29.5"
"27","Kentucky","1,067,499","676,446","63.4","371,159","34.8"
"28","Louisiana","1,051,491","686,852","65.3","298,142","28.4"
"29","Maine","417,042","256,458","61.5","160,584","38.5"
"30","Maryland","1,353,812","829,305","61.3","505,781","37.4"
"31","Massachusetts","2,458,756","1,112,078","45.2","1,332,540","54.2"
"32","Michigan","3,489,727","1,961,721","56.2","1,459,435","41.8"
"33","Minnesota","1,741,652","898,269","51.6","802,346","46.1"
"34","Mississippi","645,963","505,125","78.2","126,782","19.6"
"35","Missouri","1,855,803","1,153,852","62.2","697,147","37.6"
"36","Montana","317,603","183,976","57.9","120,197","37.8"
"37","Nebraska","576,289","406,298","70.5","169,991","29.5"
"38","Nevada","181,766","115,750","63.7","66,016","36.3"
"39","New Hampshire","334,055","213,724","64.0","116,435","34.9"
"40","New Jersey","2,997,229","1,845,502","61.6","1,102,211","36.8"
"41","New Mexico","386,241","235,606","61.0","141,084","36.5"
"42","New York","7,165,919","4,192,778","58.5","2,951,084","41.2"
"43","North Carolina","1,518,612","1,054,889","69.5","438,705","28.9"
"44","North Dakota","280,514","174,109","62.1","100,384","35.8"
"45","Ohio","4,094,787","2,441,827","59.6","1,558,889","38.1"
"46","Oklahoma","1,029,900","759,025","73.7","247,147","24.0"
"47","Oregon","927,946","486,686","52.4","392,760","42.3"
"48","Pennsylvania","4,592,106","2,714,521","59.1","1,796,951","39.1"
"49","Rhode Island","415,808","220,383","53.0","194,645","46.8"
"50","South Carolina","673,960","477,044","70.8","186,824","27.7"
"51","South Dakota","307,415","166,476","54.2","139,945","45.5"
"52","Tennessee","1,201,182","813,147","67.7","357,293","29.7"
"53","Texas","3,471,281","2,298,896","66.2","1,154,289","33.3"
"54","Utah","478,476","323,643","67.6","126,284","26.4"
"55","Vermont","186,947","117,149","62.7","68,174","36.5"
"56","Virginia*","1,457,019","988,493","67.8","438,887","30.1"
"57","Washington","1,470,847","837,135","56.9","568,334","38.6"
"58","West Virginia","762,399","484,964","63.6","277,435","36.4"
"59","Wisconsin","1,852,890","989,430","53.4","810,174","43.7"
"60","Wyoming","145,570","100,464","69.0","44,358","30.5"
