"","state","total votes","Democrat Votes","Percent Democrat Votes","Republican Votes","Percent Republican Votes","Independent Votes","Percent Independent Votes"
"9","Alabama","1,688,060","690,080","40.9","804,283","47.6","183,109","10.8"
"10","Alaska","258,506","78,294","30.3","102,000","39.5","73,481","28.4"
"11","Arizona","1,486,975","543,050","36.5","572,086","38.5","353,741","23.8"
"12","Arkansas","950,653","505,823","53.2","337,324","35.5","99,132","10.4"
"13","California","11,131,721","5,121,325","46.0","3,630,574","32.6","2,296,006","20.6"
"14","Colorado","1,569,180","629,681","40.1","562,850","35.9","366,010","23.3"
"15","Connecticut","1,616,332","682,318","42.2","578,313","35.8","348,771","21.6"
"16","Delaware","289,735","126,054","43.5","102,313","35.3","59,213","20.4"
"17","Dist. of Col.","227,572","192,619","84.6","20,698","9.1","9,681","4.3"
"18","Florida","5,314,392","2,072,698","39.0","2,173,310","40.9","1,053,067","19.8"
"19","Georgia","2,321,125","1,008,966","43.5","995,252","42.9","309,657","13.3"
"20","Hawaii","372,842","179,310","48.1","136,822","36.7","53,003","14.2"
"21","Idaho","482,142","137,013","28.4","202,645","42.0","130,395","27.0"
"22","Illinois","5,050,157","2,453,350","48.6","1,734,096","34.3","840,515","16.6"
"23","Indiana","2,305,871","848,420","36.8","989,375","42.9","455,934","19.8"
"24","Iowa","1,354,607","586,353","43.3","504,891","37.3","253,468","18.7"
"25","Kansas","1,157,335","390,434","33.7","449,951","38.9","312,358","27.0"
"26","Kentucky","1,492,900","665,104","44.6","617,178","41.3","203,944","13.7"
"27","Louisiana","1,790,017","815,971","45.6","733,386","41.0","211,478","11.8"
"28","Maine","679,499","263,420","38.8","206,504","30.4","206,820","30.4"
"29","Maryland","1,985,046","988,571","49.8","707,094","35.6","281,414","14.2"
"30","Massachusetts","2,773,700","1,318,662","47.5","805,049","29.0","630,731","22.7"
"31","Michigan","4,274,673","1,871,182","43.8","1,554,940","36.4","824,813","19.3"
"32","Minnesota","2,347,948","1,020,997","43.5","747,841","31.9","562,506","24.0"
"33","Mississippi","981,793","400,258","40.8","487,793","49.7","85,626","8.7"
"34","Missouri","2,391,565","1,053,873","44.1","811,159","33.9","518,741","21.7"
"35","Montana","410,611","154,507","37.6","144,207","35.1","107,225","26.1"
"36","Nebraska","737,546","216,864","29.4","343,678","46.6","174,104","23.6"
"37","Nevada","506,318","189,148","37.4","175,828","34.7","132,580","26.2"
"38","New Hampshire","537,943","209,040","38.9","202,484","37.6","121,337","22.6"
"39","New Jersey","3,343,594","1,436,206","43.0","1,356,865","40.6","521,829","15.6"
"40","New Mexico","569,986","261,617","45.9","212,824","37.3","91,895","16.1"
"41","New York","6,926,925","3,444,450","49.7","2,346,649","33.9","1,090,721","15.7"
"42","North Carolina","2,611,850","1,114,042","42.7","1,134,661","43.4","357,864","13.7"
"43","North Dakota","308,133","99,168","32.2","136,244","44.2","71,084","23.1"
"44","Ohio","4,939,967","1,984,942","40.2","1,894,310","38.3","1,036,426","21.0"
"45","Oklahoma","1,390,359","473,066","34.0","592,929","42.6","319,878","23.0"
"46","Oregon","1,462,643","621,314","42.5","475,757","32.5","354,091","24.2"
"47","Pennsylvania","4,959,810","2,239,164","45.1","1,791,841","36.1","902,667","18.2"
"48","Rhode Island","453,477","213,299","47.0","131,601","29.0","105,045","23.2"
"49","South Carolina","1,202,527","479,514","39.9","577,507","48.0","138,872","11.5"
"50","South Dakota","336,254","124,888","37.1","136,718","40.7","73,295","21.8"
"51","Tennessee","1,982,638","933,521","47.1","841,300","42.4","199,968","10.1"
"52","Texas","6,154,018","2,281,815","37.1","2,496,071","40.6","1,354,781","22.0"
"53","Utah","743,999","183,429","24.7","322,632","43.4","203,400","27.3"
"54","Vermont","289,701","133,592","46.1","88,122","30.4","65,991","22.8"
"55","Virginia","2,558,665","1,038,650","40.6","1,150,517","45.0","348,639","13.6"
"56","Washington","2,288,230","993,037","43.4","731,234","32.0","541,780","23.7"
"57","West Virginia","683,762","331,001","48.4","241,974","35.4","108,829","15.9"
"58","Wisconsin","2,531,114","1,041,066","41.1","930,855","36.8","544,479","21.5"
"59","Wyoming","200,598","68,160","34.0","79,347","39.6","51,263","25.6"
