"","st","NAME","PARTY","ELECYR","ELECTP","POS.PCT","NEG.PCT"
"1","AL","Johnson",1,1963,4,13,"53"
"2","AL","Johnson",1,1963,4,20,"61"
"3","AL","Johnson",1,1963,4,20,"63"
"4","AL","Johnson",1,1963,4,20,"74"
"5","AL","Johnson",1,1963,4,23,"72"
"6","AL","Johnson",1,1963,4,24,"61"
"7","AL","Johnson",1,1963,4,25,"59"
"8","AL","Johnson",1,1963,4,27,"54"
"9","AL","Johnson",1,1963,4,30,"53"
"10","AL","Johnson",1,1963,4,34,"44"
"11","AL","Johnson",1,1963,4,35,"42"
"12","AL","Johnson",1,1963,4,35,"53"
"13","AL","Johnson",1,1963,4,36,"38"
"14","AL","Johnson",1,1963,4,36,"64"
"15","AL","Johnson",1,1963,4,38,"47"
"16","AL","Johnson",1,1963,4,39,"47"
"17","AL","Johnson",1,1963,4,42,"37"
"18","AL","Johnson",1,1963,4,51,"33"
"19","AL","Johnson",1,1963,4,62,"28"
"20","AL","Carter",1,1976,1,30,"70"
"21","AL","Reagan",2,1980,1,60,"40"
"22","AL","Reagan",2,1980,1,60,"40"
"23","AL","Reagan",2,1980,1,50,"50"
"24","AL","Reagan",2,1980,1,40,"60"
"25","AL","Reagan",2,1980,1,38,"62"
"26","AL","Reagan",2,1980,1,39,"61"
"27","AL","Reagan",2,1980,1,47,"54"
"28","AL","Reagan",2,1980,1,50,"50"
"29","AL","Reagan",2,1980,1,58,"42"
"30","AL","Reagan",2,1984,2,55,"45"
"31","AL","Reagan",2,1984,2,57,"44"
"32","AL","Reagan",2,1984,2,62,"38"
"33","AL","Reagan",2,1984,2,54,"46"
"34","AL","Reagan",2,1984,2,56,"45"
"35","AL","Reagan",2,1984,2,56,"44"
"36","AL","Reagan",2,1984,2,56,"44"
"37","AL","Bush",2,1988,1,61,"39"
"38","AL","Bush",2,1988,1,61,"39"
"39","AL","Bush",2,1988,1,52,"48"
"40","AL","Bush",2,1988,1,52,"48"
"41","AL","Bush",2,1988,1,48,"52"
"42","AL","Bush",2,1988,1,48,"52"
"43","AL","Bush",2,1988,1,69,"27"
"44","AL","Bush",2,1988,1,56,"40"
"45","AL","Bush",2,1988,1,47,"51"
"46","AL","Bush",2,1988,1,47,"51"
"47","AL","Clinton",1,1992,1,31,"69"
"48","AL","Clinton",1,1992,1,31,"67"
"49","AL","Clinton",1,1992,1,34,"65"
"50","AL","Clinton",1,1992,1,34,"61"
"51","AL","Clinton",1,1992,1,24,"76"
"52","AL","Clinton",1,1992,1,35,"65"
"53","AL","Clinton",1,1992,1,39,"61"
"54","AL","Clinton",1,1992,1,37,"63"
"55","AL","Clinton",1,1992,1,41,"59"
"56","AL","Clinton",1,1992,1,37,"63"
"57","AL","Clinton",1,1992,1,34,"66"
"58","AL","Clinton",1,1992,1,39,"61"
"59","AL","Clinton",1,1996,2,39,"60"
"60","AL","Clinton",1,1996,2,38,"62"
"61","AL","Clinton",1,1996,2,55,"42"
"62","AL","Clinton",1,1996,2,37,"63"
"63","AL","Clinton",1,1996,2,47,"48"
"64","AL","GW Bush",2,2000,1,66,"32"
"65","AL","GW Bush",2,2000,1,65,"34"
"66","AL","GW Bush",2,2000,1,63,"33"
"67","AL","GW Bush",2,2000,1,59,"39"
"68","AL","GW Bush",2,2004,2,50,"44"
"69","AL","GW Bush",2,2004,2,54,"41"
"70","AL","GW Bush",2,2004,2,52,"45"
"71","AL","GW Bush",2,2004,2,51,"44"
"72","AL","GW Bush",2,2004,2,48,"49"
