OFFICE,STATE,OH,NAME,PARTY,ELECYR,ELECTP,QUESTION,POS PCT,NEG PCT,RATING SC,POLLSTER,DAYIN,MONTHIN,YEARIN,DATEIN,DAYOUT,MONTHOUT,YEAROUT,DATEOUT,SAMPLE,TYPE,SOURCE,SOURCED,
1,1,36,Johnson,1,1963,4,32,13,53,10,9007,,9,1964,9//1964,,9,1964,9//1964,205,4,6,,
1,1,36,Johnson,1,1963,4,31,20,61,10,9007,,9,1964,9//1964,,9,1964,9//1964,208,4,6,,
1,1,36,Johnson,1,1963,4,30,20,63,10,9007,,9,1964,9//1964,,9,1964,9//1964,204,4,6,,
1,1,36,Johnson,1,1963,4,34,20,74,10,9007,,9,1964,9//1964,,9,1964,9//1964,206,4,6,,
1,1,36,Johnson,1,1963,4,11,23,72,10,9007,,9,1964,9//1964,,9,1964,9//1964,207,4,6,,
1,1,36,Johnson,1,1963,4,33,24,61,10,9007,,9,1964,9//1964,,9,1964,9//1964,208,4,6,,
1,1,36,Johnson,1,1963,4,28,25,59,10,9007,,9,1964,9//1964,,9,1964,9//1964,208,4,6,,
1,1,36,Johnson,1,1963,4,35,27,54,10,9007,,9,1964,9//1964,,9,1964,9//1964,206,4,6,,
1,1,36,Johnson,1,1963,4,12,30,53,10,9007,,9,1964,9//1964,,9,1964,9//1964,209,4,6,,
1,1,36,Johnson,1,1963,4,36,34,44,10,9007,,9,1964,9//1964,,9,1964,9//1964,206,4,6,,
1,1,36,Johnson,1,1963,4,25,35,42,10,9007,,9,1964,9//1964,,9,1964,9//1964,203,4,6,,
1,1,36,Johnson,1,1963,4,18,35,53,10,9007,,9,1964,9//1964,,9,1964,9//1964,206,4,6,,
1,1,36,Johnson,1,1963,4,26,36,38,10,9007,,9,1964,9//1964,,9,1964,9//1964,206,4,6,,
1,1,36,Johnson,1,1963,4,1,36,64,10,9007,,9,1964,9//1964,,9,1964,9//1964,404,4,6,,
1,1,36,Johnson,1,1963,4,27,38,47,10,9007,,9,1964,9//1964,,9,1964,9//1964,207,4,6,,
1,1,36,Johnson,1,1963,4,17,39,47,10,9007,,9,1964,9//1964,,9,1964,9//1964,207,4,6,,
1,1,36,Johnson,1,1963,4,37,42,37,10,9007,,9,1964,9//1964,,9,1964,9//1964,204,4,6,,
1,1,36,Johnson,1,1963,4,29,51,33,10,9007,,9,1964,9//1964,,9,1964,9//1964,207,4,6,,
1,1,36,Johnson,1,1963,4,38,62,28,10,9007,,9,1964,9//1964,,9,1964,9//1964,207,4,6,,
1,1,39,Carter,1,1976,1,1,30,70,1,101,,10,1980,10//1980,,10,1980,10//1980,651,3,6,,
1,1,40,Reagan,2,1980,1,1,60,40,1,101,,5,1981,5//1981,,5,1981,5//1981,510,3,6,,
1,1,40,Reagan,2,1980,1,1,60,40,1,101,,5,1981,5//1981,,5,1981,5//1981,524,3,6,,
1,1,40,Reagan,2,1980,1,1,50,50,1,101,,11,1981,11//1981,,11,1981,11//1981,472,3,6,,
1,1,40,Reagan,2,1980,1,1,40,60,1,101,,3,1982,3//1982,,3,1982,3//1982,507,3,6,,
1,1,40,Reagan,2,1980,1,1,38,62,1,101,,11,1982,11//1982,,11,1982,11//1982,502,3,6,,
1,1,40,Reagan,2,1980,1,1,39,61,1,101,,5,1983,5//1983,,5,1983,5//1983,500,3,6,,
1,1,40,Reagan,2,1980,1,1,47,54,1,101,,10,1983,10//1983,,10,1983,10//1983,514,3,6,,
1,1,40,Reagan,2,1980,1,1,50,50,1,101,,5,1984,5//1984,,5,1984,5//1984,537,3,6,,
1,1,40,Reagan,2,1980,1,1,58,42,1,101,,12,1984,12//1984,,12,1984,12//1984,493,3,6,,
1,1,40,Reagan,2,1984,2,1,55,45,1,101,,5,1985,5//1985,,5,1985,5//1985,492,3,6,,
1,1,40,Reagan,2,1984,2,1,57,44,1,101,,11,1985,11//1985,,11,1985,11//1985,490,3,6,,
1,1,40,Reagan,2,1984,2,1,62,38,1,101,,3,1986,3//1986,,3,1986,3//1986,497,3,6,,
1,1,40,Reagan,2,1984,2,1,54,46,1,101,,6,1987,6//1987,,6,1987,6//1987,478,3,6,,
1,1,40,Reagan,2,1984,2,1,56,45,1,101,,10,1987,10//1987,,10,1987,10//1987,487,3,6,,
1,1,40,Reagan,2,1984,2,1,56,44,1,101,,3,1988,3//1988,,3,1988,3//1988,469,3,6,,
1,1,40,Reagan,2,1984,2,1,56,44,1,101,,3,1988,3//1988,,3,1988,3//1988,469,3,6,,
1,1,41,Bush,2,1988,1,1,61,39,1,101,,10,1988,10//1988,,10,1988,10//1988,470,3,,,
1,1,41,Bush,2,1988,1,1,61,39,1,101,,10,1988,10//1988,,10,1988,10//1988,479,3,6,,
1,1,41,Bush,2,1988,1,1,52,48,1,101,,10,1989,10//1989,,10,1989,10//1989,481,3,,,
1,1,41,Bush,2,1988,1,1,52,48,1,101,,10,1989,10//1989,,10,1989,10//1989,481,3,6,,
1,1,41,Bush,2,1988,1,1,48,52,1,101,,2,1990,2//1990,,2,1990,2//1990,456,3,,,
1,1,41,Bush,2,1988,1,1,48,52,1,101,,2,1990,2//1990,,2,1990,2//1990,456,3,6,,
1,1,41,Bush,2,1988,1,1,69,27,6,9003,22,6,1991,6/22/1991,2,7,1991,7/2/1991,395,3,2,33483,
1,1,41,Bush,2,1988,1,1,56,40,6,9003,,7,1991,7//1991,,8,1991,8//1991,,,2,33483,
1,1,41,Bush,2,1988,1,1,47,51,1,101,,2,1992,2//1992,,2,1992,2//1992,464,3,,,
1,1,41,Bush,2,1988,1,1,47,51,1,101,,2,1992,2//1992,,2,1992,2//1992,464,3,6,,
1,1,42,Clinton,1,1992,1,1,31,69,1,101,,5,1993,5//1993,,5,1993,5//1993,425,3,6, ,
1,1,42,Clinton,1,1992,1,1,31,67,1,101,,3,1994,3//1994,,3,1994,3//1994,452,3,6,,
1,1,42,Clinton,1,1992,1,1,34,65,1,9001,20,6,1994,6/20/1994,22,6,1994,6/22/1994,823,1,,,
1,1,42,Clinton,1,1992,1,1,34,61,3,9002,8,11,1994,11/8/1994,8,11,1994,11/8/1994,989,4,2,,
1,1,42,Clinton,1,1992,1,1,24,76,1,101,31,12,1995,12/31/1995,31,12,1995,12/31/1995,451,3,6,,
1,1,42,Clinton,1,1992,1,1,35,65,30,101,31,12,1995,12/31/1995,31,12,1995,12/31/1995,455,3,6,,
1,1,42,Clinton,1,1992,1,1,39,61,6,9003,12,4,1996,4/12/1996,18,4,1996,4/18/1996,504,2,2,35191,
1,1,42,Clinton,1,1992,1,1,37,63,1,9001,18,4,1996,4/18/1996,20,4,1996,4/20/1996,834,1,,,
1,1,42,Clinton,1,1992,1,1,41,59,1,9001,23,9,1996,9/23/1996,25,9,1996,9/25/1996,805,1,,,
1,1,42,Clinton,1,1992,1,1,37,63,1,9001,21,10,1996,10/21/1996,22,10,1996,10/22/1996,814,1,,,
1,1,42,Clinton,1,1992,1,1,34,66,1,101,31,12,1996,12/31/1996,31,12,1996,12/31/1996,449,3,6,,
1,1,42,Clinton,1,1992,1,1,39,61,1,101,31,12,1996,12/31/1996,31,12,1996,12/31/1996,458,3,6,,
1,1,42,Clinton,1,1996,2,1,39,60,1,9001,10,12,1997,12/10/1997,12,12,1997,12/12/1997,836,1,,,
1,1,42,Clinton,1,1996,2,1,38,62,1,9011,19,4,1998,4/19/1998,21,4,1998,4/21/1998,809,1,,,
1,1,42,Clinton,1,1996,2,1,55,42,6,9003,31,7,1998,7/31/1998,24,8,1998,8/24/1998,400,3,2,36045,
1,1,42,Clinton,1,1996,2,1,37,63,1,9001,14,9,1998,9/14/1998,15,9,1998,9/15/1998,803,1,,,
1,1,42,Clinton,1,1996,2,,47,48,3,9002,7,11,2000,11/7/2000,7,11,2000,11/7/2000,831,4,1,,
1,1,43,GW Bush,2,2000,1,1,66,32,6,103,14,7,2003,7/14/2003,17,7,2003,7/17/2003,407,3,16,,
1,1,43,GW Bush,2,2000,1,1,65,34,51,105,17,11,2003,11/17/2003,9,12,2003,12/9/2003,735,1,16,,
1,1,43,GW Bush,2,2000,1,42,63,33,51,105,17,11,2003,11/17/2003,9,12,2003,12/9/2003,735,1,16,,
1,1,43,GW Bush,2,2000,1,41,59,39,51,105,17,11,2003,11/17/2003,9,12,2003,12/9/2003,735,1,16,,
1,1,43,GW Bush,2,2004,2,1,50,44,3,9023,6,5,2005,5/6/2005,8,5,2005,5/8/2005,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,54,41,3,9023,10,6,2005,6/10/2005,12,6,2005,6/12/2005,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,52,45,3,9023,12,8,2005,8/12/2005,14,8,2005,8/14/2005,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,51,44,3,9023,16,9,2005,9/16/2005,18,9,2005,9/18/2005,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,48,49,3,9023,14,10,2005,10/14/2005,16,10,2005,10/16/2005,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,46,49,3,9023,11,11,2005,11/11/2005,13,11,2005,11/13/2005,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,54,43,3,9023,9,12,2005,12/9/2005,11,12,2005,12/11/2005,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,50,47,3,9023,13,1,2006,1/13/2006,15,1,2006,1/15/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,53,44,3,9023,10,2,2006,2/10/2006,12,2,2006,2/12/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,51,46,3,9023,10,3,2006,3/10/2006,12,3,2006,3/12/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,45,51,3,9023,7,4,2006,4/7/2006,9,4,2006,4/9/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,44,54,3,9023,12,5,2006,5/12/2006,14,5,2006,5/14/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,51,46,3,9023,9,6,2006,6/9/2006,11,6,2006,6/11/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,46,51,3,9023,14,7,2006,7/14/2006,16,7,2006,7/16/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,47,50,3,9023,11,8,2006,8/11/2006,13,8,2006,8/13/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,47,51,3,9023,14,9,2006,9/14/2006,17,9,2006,9/17/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,43,55,3,9023,12,10,2006,10/12/2006,15,10,2006,10/15/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,45,53,3,9023,8,11,2006,11/8/2006,11,11,2006,11/11/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,42,55,3,9023,8,12,2006,12/8/2006,10,12,2006,12/10/2006,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,42,55,3,9023,12,1,2007,1/12/2007,14,1,2007,1/14/2007,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,45,52,3,9023,9,2,2007,2/9/2007,11,2,2007,2/11/2007,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,43,55,3,9023,9,3,2007,3/9/2007,11,3,2007,3/11/2007,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,43,56,3,9023,13,4,2007,4/13/2007,15,4,2007,4/15/2007,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,42,55,3,9023,11,5,2007,5/11/2007,13,5,2007,5/13/2007,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,41,57,3,9023,8,6,2007,6/8/2007,10,6,2007,6/10/2007,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,42,55,3,9023,13,7,2007,7/13/2007,15,7,2007,7/15/2007,600,3,32,,
1,1,43,GW Bush,2,2004,2,1,46,52,6,103,23,7,2007,7/23/2007,26,7,2007,7/26/2007,431,3,16,,
