Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST020000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Alaska,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Alaska,,,,,,,,,,,,
Years:,2005 to 2018,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,7.1,7.0,6.9,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,
2006,6.9,6.9,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.5,6.4,6.4,
2007,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,
2008,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.8,6.8,6.9,7.0,
2009,7.1,7.3,7.4,7.6,7.7,7.8,7.9,8.0,8.0,8.0,8.0,8.0,
2010,8.0,8.0,8.0,8.0,7.9,7.8,7.8,7.8,7.8,7.8,7.8,7.8,
2011,7.8,7.7,7.7,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.5,7.4,
2012,7.4,7.3,7.3,7.2,7.2,7.1,7.1,7.0,7.0,7.0,7.0,7.0,
2013,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2014,7.0,7.0,7.0,7.0,7.0,7.0,6.9,6.9,6.8,6.7,6.6,6.5,
2015,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.7,
2016,6.7,6.8,6.8,6.8,6.9,6.9,7.0,7.0,7.0,7.0,7.0,7.0,
2017,7.0,7.0,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,
2018,7.3,7.3,7.3,7.3,,,,,,,,,
