Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST010000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Alabama,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Alabama,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.1,4.9,4.8,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.2,4.2,
2006,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,3.9,
2007,3.9,3.8,3.8,3.8,3.8,3.8,3.9,4.0,4.1,4.2,4.3,4.3,
2008,4.4,4.5,4.6,4.8,5.1,5.3,5.6,5.9,6.2,6.7,7.4,8.1,
2009,8.9,9.6,10.2,10.7,11.0,11.3,11.5,11.6,11.7,11.8,11.8,11.8,
2010,11.7,11.6,11.4,10.8,10.4,10.1,10.0,9.9,10.0,10.1,10.2,10.3,
2011,10.2,10.2,10.1,10.0,10.0,10.0,9.9,9.7,9.4,9.0,8.6,8.3,
2012,8.1,7.9,8.0,8.1,8.2,8.3,8.2,8.1,7.9,7.8,7.6,7.6,
2013,7.5,7.4,7.3,7.2,7.1,7.0,7.1,7.1,7.2,7.2,7.2,7.3,
2014,7.3,7.2,7.2,7.1,7.0,6.9,6.7,6.6,6.5,6.4,6.2,6.1,
2015,6.1,6.1,6.1,6.1,6.2,6.2,6.1,6.1,6.1,6.0,6.0,6.0,
2016,6.0,6.0,5.9,5.9,5.8,5.8,5.8,5.8,5.9,5.9,5.8,5.7,
2017,5.5,5.3,5.0,4.8,4.6,4.3,4.1,4.0,3.9,3.8,3.8,3.8,
