Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST050000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Arkansas,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Arkansas,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.4,5.4,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.1,5.1,5.0,
2006,5.0,5.0,5.1,5.1,5.2,5.2,5.2,5.3,5.3,5.3,5.2,5.2,
2007,5.2,5.2,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.1,
2008,5.0,5.0,4.9,5.0,5.0,5.2,5.3,5.5,5.8,6.1,6.4,6.8,
2009,7.1,7.4,7.6,7.8,7.9,7.9,7.9,8.0,8.0,8.0,8.1,8.2,
2010,8.2,8.2,8.2,8.1,8.1,8.1,8.1,8.1,8.2,8.3,8.3,8.4,
2011,8.5,8.5,8.5,8.5,8.5,8.4,8.4,8.3,8.2,8.0,7.9,7.8,
2012,7.7,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.5,
2013,7.4,7.4,7.4,7.4,7.4,7.3,7.3,7.2,7.1,7.0,6.9,6.8,
2014,6.6,6.5,6.3,6.2,6.1,6.0,5.9,5.9,5.8,5.7,5.7,5.6,
2015,5.6,5.6,5.5,5.4,5.3,5.2,5.0,4.8,4.7,4.5,4.4,4.3,
2016,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.8,3.8,3.7,
2017,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,
