Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST040000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Arizona,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Arizona,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.5,4.5,
2006,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.2,4.1,4.0,4.0,3.9,
2007,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.7,3.8,3.9,4.1,4.3,
2008,4.5,4.7,5.0,5.3,5.6,5.9,6.3,6.6,6.9,7.3,7.6,8.0,
2009,8.4,8.8,9.1,9.4,9.7,9.9,10.2,10.4,10.6,10.8,10.9,10.9,
2010,10.9,10.8,10.7,10.6,10.4,10.3,10.2,10.2,10.1,10.1,10.0,9.9,
2011,9.8,9.7,9.7,9.7,9.7,9.7,9.7,9.6,9.4,9.2,9.0,8.8,
2012,8.7,8.7,8.6,8.6,8.5,8.5,8.3,8.2,8.1,8.0,7.9,7.9,
2013,7.9,7.9,7.9,7.9,7.8,7.8,7.8,7.7,7.7,7.6,7.5,7.4,
2014,7.3,7.1,7.0,6.9,6.8,6.8,6.7,6.6,6.6,6.6,6.5,6.5,
2015,6.4,6.3,6.3,6.2,6.1,6.0,6.0,6.0,5.9,5.8,5.8,5.7,
2016,5.7,5.6,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.2,5.2,
2017,5.2,5.1,5.1,5.0,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.7,
