Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST060000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,California,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,California,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.1,
2006,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,
2007,4.9,5.0,5.1,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,
2008,6.0,6.1,6.2,6.5,6.7,7.0,7.3,7.6,7.9,8.3,8.7,9.2,
2009,9.7,10.1,10.5,10.8,11.0,11.2,11.4,11.5,11.7,11.8,11.9,12.1,
2010,12.2,12.2,12.3,12.2,12.2,12.2,12.2,12.2,12.2,12.3,12.3,12.2,
2011,12.1,12.0,11.9,11.8,11.8,11.8,11.8,11.7,11.6,11.5,11.3,11.2,
2012,11.0,10.9,10.8,10.7,10.6,10.5,10.4,10.2,10.0,9.9,9.8,9.7,
2013,9.6,9.4,9.3,9.2,9.1,9.0,8.9,8.8,8.7,8.6,8.4,8.3,
2014,8.2,8.0,7.9,7.8,7.7,7.5,7.4,7.3,7.2,7.1,7.0,6.9,
2015,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6.0,5.9,5.8,5.7,5.7,
2016,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,
2017,5.2,5.1,5.0,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,
