Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST080000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Colorado,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Colorado,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.3,5.3,5.2,5.2,5.1,5.1,5.0,4.9,4.9,4.8,4.8,4.7,
2006,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.3,4.2,4.1,3.9,3.8,
2007,3.7,3.7,3.6,3.5,3.5,3.6,3.6,3.7,3.8,3.9,4.0,4.1,
2008,4.1,4.2,4.3,4.4,4.5,4.7,4.9,5.0,5.2,5.4,5.6,5.9,
2009,6.1,6.4,6.7,7.0,7.2,7.4,7.5,7.6,7.7,7.8,8.0,8.2,
2010,8.3,8.5,8.6,8.7,8.7,8.7,8.8,8.8,8.9,8.9,8.9,8.9,
2011,8.8,8.7,8.5,8.4,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,
2012,8.2,8.1,8.1,8.1,8.0,8.0,7.9,7.8,7.7,7.7,7.6,7.5,
2013,7.4,7.3,7.2,7.1,7.1,7.0,6.9,6.8,6.6,6.4,6.3,6.1,
2014,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.5,4.4,4.4,4.3,
2015,4.3,4.2,4.2,4.1,4.0,3.9,3.8,3.7,3.7,3.6,3.5,3.5,
2016,3.5,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.1,3.0,2.9,
2017,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.9,3.0,3.0,3.0,3.0,
