Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST090000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Connecticut,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Connecticut,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.9,4.9,5.0,5.0,5.0,5.0,4.9,4.9,4.8,4.8,4.7,4.6,
2006,4.5,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,
2007,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.6,4.7,4.8,4.9,
2008,4.9,5.0,5.1,5.2,5.3,5.5,5.7,5.9,6.1,6.3,6.4,6.6,
2009,6.9,7.1,7.3,7.5,7.7,7.9,8.1,8.2,8.4,8.5,8.7,8.8,
2010,9.0,9.0,9.1,9.1,9.1,9.1,9.1,9.1,9.2,9.2,9.3,9.3,
2011,9.2,9.2,9.2,9.1,9.0,8.9,8.8,8.7,8.6,8.5,8.4,8.3,
2012,8.2,8.2,8.3,8.3,8.4,8.5,8.5,8.5,8.4,8.4,8.3,8.2,
2013,8.2,8.1,8.1,8.0,7.9,7.9,7.8,7.8,7.7,7.5,7.4,7.3,
2014,7.2,7.0,6.9,6.8,6.7,6.6,6.5,6.5,6.4,6.3,6.3,6.2,
2015,6.1,6.0,5.9,5.8,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,
2016,5.5,5.5,5.4,5.3,5.3,5.2,5.1,5.0,5.0,4.9,4.9,4.9,
2017,4.9,4.9,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5,
