Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST110000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,District of Columbia,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,District of Columbia,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,7.6,7.3,7.1,6.8,6.6,6.3,6.1,5.9,5.8,5.7,5.7,5.7,
2006,5.7,5.8,5.8,5.8,5.9,5.9,5.9,5.8,5.8,5.8,5.7,5.6,
2007,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,
2008,5.7,5.8,5.9,5.9,6.0,6.2,6.3,6.5,6.8,7.1,7.4,7.7,
2009,8.0,8.3,8.6,8.9,9.1,9.3,9.6,9.7,9.9,10.0,10.0,9.9,
2010,9.8,9.7,9.5,9.4,9.3,9.3,9.2,9.2,9.3,9.3,9.4,9.5,
2011,9.6,9.8,10.1,10.3,10.4,10.5,10.5,10.4,10.3,10.1,10.0,9.9,
2012,9.8,9.6,9.4,9.3,9.1,8.9,8.8,8.8,8.7,8.7,8.7,8.7,
2013,8.7,8.7,8.7,8.6,8.6,8.6,8.5,8.5,8.4,8.3,8.2,8.1,
2014,8.0,7.9,7.9,7.9,7.8,7.8,7.8,7.7,7.7,7.6,7.6,7.5,
2015,7.4,7.3,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.6,6.5,6.4,
2016,6.4,6.3,6.2,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,
2017,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.1,6.0,5.9,5.9,5.9,
