Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST120000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Florida,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Florida,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.3,4.2,4.0,3.9,3.8,3.6,3.5,3.5,3.4,3.4,3.3,3.3,
2006,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,
2007,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.2,4.3,4.4,4.6,4.7,
2008,4.8,5.0,5.2,5.4,5.7,6.0,6.3,6.7,7.0,7.4,7.8,8.3,
2009,8.8,9.3,9.8,10.1,10.4,10.5,10.7,10.8,10.9,11.0,11.2,11.2,
2010,11.3,11.2,11.2,11.1,11.0,10.9,10.9,11.0,11.0,11.0,11.0,10.8,
2011,10.7,10.5,10.4,10.3,10.2,10.2,10.1,9.9,9.7,9.5,9.3,9.1,
2012,8.9,8.8,8.7,8.7,8.7,8.6,8.5,8.4,8.3,8.1,8.1,8.0,
2013,7.9,7.8,7.6,7.5,7.4,7.3,7.2,7.0,6.9,6.8,6.7,6.7,
2014,6.6,6.6,6.6,6.5,6.4,6.3,6.2,6.1,6.1,6.0,5.9,5.9,
2015,5.8,5.7,5.7,5.6,5.6,5.5,5.4,5.3,5.3,5.2,5.1,5.1,
2016,5.0,5.0,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,
2017,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.0,3.9,3.9,3.9,3.9,
