Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST130000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Georgia,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Georgia,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.3,5.4,5.4,5.4,5.4,5.3,5.3,5.4,5.4,5.3,5.2,5.1,
2006,5.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.4,
2007,4.3,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.7,4.8,4.9,5.0,
2008,5.1,5.2,5.4,5.5,5.7,5.9,6.1,6.3,6.8,7.3,7.7,8.2,
2009,8.7,9.1,9.5,9.7,9.9,10.0,10.2,10.3,10.4,10.4,10.5,10.5,
2010,10.5,10.6,10.6,10.5,10.4,10.3,10.3,10.4,10.5,10.6,10.6,10.6,
2011,10.5,10.4,10.3,10.3,10.3,10.3,10.4,10.3,10.2,10.1,9.9,9.8,
2012,9.7,9.6,9.5,9.5,9.4,9.3,9.1,9.0,8.9,8.8,8.8,8.7,
2013,8.7,8.6,8.6,8.5,8.4,8.3,8.2,8.1,7.9,7.8,7.7,7.6,
2014,7.5,7.4,7.3,7.3,7.3,7.3,7.2,7.1,6.9,6.8,6.6,6.5,
2015,6.4,6.3,6.3,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.6,5.6,
2016,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.3,
2017,5.3,5.2,5.0,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.5,
