Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST150000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Hawaii,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Hawaii,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,3.1,3.0,3.0,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,
2006,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.6,2.5,2.4,2.4,2.4,
2007,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.9,3.0,3.1,3.1,
2008,3.2,3.3,3.4,3.6,3.8,4.0,4.3,4.6,4.9,5.2,5.6,6.0,
2009,6.4,6.7,7.0,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.2,7.2,
2010,7.1,7.0,7.0,6.9,6.9,6.9,7.0,7.0,7.0,6.9,6.9,6.8,
2011,6.8,6.7,6.7,6.7,6.7,6.8,6.8,6.9,6.9,6.9,6.9,6.8,
2012,6.7,6.7,6.6,6.4,6.3,6.1,6.0,5.8,5.6,5.4,5.3,5.2,
2013,5.1,5.1,5.0,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
2014,4.7,4.6,4.6,4.5,4.5,4.4,4.3,4.2,4.2,4.1,4.1,4.0,
2015,4.0,3.9,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,3.2,3.1,
2016,3.1,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,
2017,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.1,2.1,
