Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST190000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Iowa,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Iowa,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.1,4.0,
2006,3.9,3.8,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,
2007,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,
2008,3.7,3.7,3.7,3.8,3.9,4.1,4.2,4.3,4.4,4.7,5.0,5.3,
2009,5.7,6.0,6.3,6.5,6.6,6.6,6.6,6.6,6.5,6.5,6.4,6.4,
2010,6.4,6.3,6.2,6.1,6.0,5.9,5.9,5.9,5.9,5.9,5.8,5.8,
2011,5.7,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.3,
2012,5.2,5.1,5.1,5.1,5.0,5.1,5.0,5.0,5.0,5.0,4.9,4.9,
2013,4.9,4.9,4.9,4.9,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.5,
2014,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.0,
2015,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,
2016,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,
2017,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.0,3.0,2.9,2.9,2.9,
