Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST160000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Idaho,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Idaho,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.3,4.2,4.2,4.1,4.1,4.1,4.1,4.0,3.9,3.8,3.8,3.8,
2006,3.8,3.7,3.7,3.6,3.6,3.5,3.4,3.4,3.3,3.3,3.2,3.2,
2007,3.1,3.0,2.9,2.9,2.9,2.9,3.0,3.1,3.2,3.2,3.2,3.1,
2008,3.0,3.0,3.0,4.7,5.2,5.5,5.7,5.8,6.0,6.3,6.6,6.9,
2009,7.2,7.4,7.6,7.6,9.2,9.6,9.6,9.5,9.4,9.3,9.2,9.2,
2010,9.2,9.2,9.1,9.1,9.0,9.0,8.9,8.9,8.8,8.8,8.8,8.8,
2011,8.7,8.7,8.6,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.8,
2012,7.7,7.6,7.5,7.5,7.4,7.3,7.2,7.1,7.0,6.8,6.7,6.6,
2013,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6.0,5.9,5.7,5.6,5.4,
2014,5.3,5.2,5.1,5.0,5.0,4.9,4.9,4.8,4.7,4.6,4.5,4.4,
2015,4.4,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.0,
2016,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.5,
2017,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3.0,3.0,3.0,3.0,
