Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST170000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Illinois,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Illinois,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,6.0,6.0,5.9,5.8,5.8,5.7,5.6,5.6,5.6,5.5,5.4,5.3,
2006,5.1,4.9,4.8,4.6,4.6,4.5,4.4,4.4,4.3,4.4,4.4,4.4,
2007,4.5,4.6,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.4,
2008,5.4,5.5,5.6,5.7,5.9,6.1,6.3,6.5,6.7,6.9,7.3,7.8,
2009,8.3,8.9,9.4,9.8,10.2,10.4,10.5,10.7,10.8,11.0,11.1,11.3,
2010,11.3,11.3,11.1,10.8,10.6,10.3,10.1,10.0,9.9,9.8,9.7,9.5,
2011,9.4,9.4,9.4,9.5,9.7,9.9,10.0,10.1,10.0,9.9,9.6,9.4,
2012,9.1,9.0,8.9,8.9,9.0,9.0,9.0,9.0,8.9,9.0,9.0,9.1,
2013,9.2,9.3,9.3,9.2,9.2,9.1,9.1,9.1,9.0,8.8,8.7,8.5,
2014,8.3,8.1,7.8,7.6,7.3,7.1,6.9,6.7,6.6,6.4,6.3,6.1,
2015,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,6.0,6.1,
2016,6.1,6.1,6.1,6.0,5.9,5.9,5.8,5.7,5.7,5.6,5.5,5.4,
2017,5.2,5.1,5.0,4.9,4.9,4.9,5.0,5.0,5.0,4.9,4.9,4.9,
