Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST180000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Indiana,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Indiana,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.7,5.7,5.6,5.5,5.4,5.3,5.4,5.4,5.5,5.4,5.4,5.3,
2006,5.2,5.1,5.1,5.1,5.2,5.2,5.2,5.1,5.1,5.0,4.9,4.8,
2007,4.7,4.6,4.5,4.5,4.4,4.4,4.5,4.5,4.6,4.6,4.7,4.7,
2008,4.7,4.7,4.8,5.0,5.3,5.5,5.8,6.1,6.5,6.9,7.5,8.2,
2009,8.9,9.5,10.0,10.3,10.5,10.6,10.6,10.5,10.5,10.6,10.7,10.8,
2010,11.0,11.0,10.9,10.8,10.6,10.4,10.3,10.1,10.0,9.9,9.7,9.4,
2011,9.2,9.0,8.9,8.9,9.0,9.2,9.3,9.4,9.4,9.2,9.0,8.8,
2012,8.6,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.4,8.4,
2013,8.5,8.4,8.3,8.1,8.0,7.8,7.6,7.5,7.2,7.0,6.7,6.5,
2014,6.4,6.3,6.2,6.1,6.1,6.0,5.9,5.9,5.8,5.7,5.6,5.5,
2015,5.4,5.3,5.1,5.0,4.9,4.8,4.7,4.6,4.6,4.5,4.6,4.6,
2016,4.6,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4.0,
2017,3.8,3.7,3.6,3.5,3.5,3.5,3.6,3.6,3.5,3.5,3.4,3.4,
