Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST210000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Kentucky,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Kentucky,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.4,5.6,5.7,5.8,5.9,5.9,5.9,6.0,6.0,6.1,6.1,6.0,
2006,6.0,5.9,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,
2007,5.5,5.5,5.4,5.3,5.3,5.2,5.3,5.4,5.4,5.4,5.4,5.4,
2008,5.4,5.4,5.5,5.7,5.9,6.2,6.4,6.7,6.9,7.3,7.8,8.4,
2009,9.0,9.6,10.0,10.4,10.6,10.7,10.7,10.6,10.6,10.6,10.6,10.6,
2010,10.6,10.6,10.5,10.3,10.2,10.0,9.9,9.9,10.0,10.0,10.0,10.0,
2011,9.8,9.7,9.6,9.6,9.5,9.5,9.5,9.4,9.3,9.1,8.9,8.6,
2012,8.4,8.2,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.1,8.1,8.1,
2013,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.0,7.9,7.8,7.7,
2014,7.5,7.4,7.2,7.0,6.8,6.5,6.3,6.1,5.9,5.7,5.6,5.5,
2015,5.4,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.3,5.3,5.3,
2016,5.3,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,
2017,5.2,5.1,5.2,5.2,5.1,5.1,5.0,4.9,4.7,4.6,4.5,4.5,
