Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST220000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Louisiana,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Louisiana,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.8,5.8,5.7,5.7,5.7,5.7,5.6,5.4,11.3,11.2,11.2,6.4,
2006,4.9,4.9,4.7,4.5,4.3,4.2,4.2,4.2,4.3,4.3,4.3,4.3,
2007,4.3,4.3,4.3,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.2,4.2,
2008,4.2,4.3,4.3,4.3,4.5,4.7,4.9,5.2,5.4,5.6,5.8,5.9,
2009,6.1,6.2,6.4,6.6,6.7,6.9,7.0,7.1,7.1,7.2,7.3,7.3,
2010,7.4,7.5,7.6,7.7,7.8,7.9,8.0,8.2,8.3,8.3,8.4,8.3,
2011,8.3,8.2,8.1,8.0,7.9,7.8,7.7,7.7,7.6,7.6,7.6,7.5,
2012,7.5,7.4,7.4,7.4,7.3,7.2,7.0,6.8,6.7,6.7,6.8,6.9,
2013,7.0,7.1,7.2,7.1,7.0,6.9,6.8,6.6,6.4,6.2,6.0,5.8,
2014,5.7,5.7,5.7,5.9,6.1,6.3,6.6,6.8,6.9,7.0,7.0,6.9,
2015,6.9,6.8,6.7,6.5,6.4,6.3,6.2,6.1,6.0,6.0,6.0,6.1,
2016,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.0,5.9,5.9,
2017,5.8,5.7,5.6,5.4,5.3,5.2,5.0,4.9,4.8,4.7,4.7,4.7,
