Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST230000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Maine,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Maine,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.9,4.9,4.9,5.0,5.0,5.0,4.9,4.9,4.9,4.8,4.7,4.6,
2006,4.5,4.5,4.4,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.6,4.5,
2007,4.5,4.5,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.9,4.9,4.8,
2008,4.8,4.8,4.9,4.9,5.0,5.2,5.4,5.6,5.8,6.2,6.6,7.0,
2009,7.4,7.7,8.0,8.2,8.2,8.3,8.2,8.2,8.2,8.2,8.2,8.2,
2010,8.2,8.2,8.2,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,
2011,8.1,8.1,8.0,8.0,8.0,7.9,7.9,7.8,7.8,7.7,7.7,7.7,
2012,7.7,7.7,7.6,7.6,7.6,7.5,7.5,7.4,7.3,7.3,7.2,7.2,
2013,7.1,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.2,
2014,6.1,6.1,6.0,5.9,5.8,5.7,5.5,5.5,5.4,5.3,5.2,5.1,
2015,5.0,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0,4.0,3.9,
2016,3.9,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.8,3.7,3.6,3.5,
2017,3.4,3.3,3.3,3.3,3.4,3.5,3.5,3.4,3.3,3.2,3.1,3.1,
