Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST260000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Michigan,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Michigan,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,7.2,7.1,7.0,6.9,6.7,6.6,6.6,6.6,6.6,6.6,6.7,6.8,
2006,6.8,6.9,6.9,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.0,7.0,
2007,6.9,6.8,6.8,6.8,6.8,6.9,7.0,7.1,7.2,7.3,7.2,7.2,
2008,7.1,7.1,7.2,7.3,7.5,7.8,8.0,8.2,8.4,8.8,9.3,9.8,
2009,10.9,12.0,12.9,13.6,14.2,14.6,14.5,14.4,14.2,14.1,14.0,13.9,
2010,13.9,13.7,13.5,13.2,12.9,12.6,12.3,12.1,12.0,11.8,11.6,11.3,
2011,11.0,10.8,10.7,10.6,10.6,10.6,10.6,10.5,10.2,10.0,9.7,9.4,
2012,9.2,9.1,9.1,9.2,9.2,9.2,9.2,9.1,9.1,9.0,9.0,9.1,
2013,9.1,9.1,9.0,8.9,8.9,8.8,8.8,8.8,8.7,8.6,8.4,8.3,
2014,8.1,8.0,7.9,7.7,7.5,7.4,7.2,7.0,6.8,6.6,6.4,6.2,
2015,6.0,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5.1,5.0,4.9,4.9,
2016,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,5.1,5.1,5.2,5.1,
2017,5.0,4.8,4.6,4.4,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.7,
