Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST270000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Minnesota,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Minnesota,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.3,4.2,4.2,4.1,4.0,4.0,3.9,3.9,4.0,4.0,4.1,4.1,
2006,4.1,4.0,4.0,3.9,3.8,3.8,3.8,3.9,4.0,4.1,4.2,4.3,
2007,4.3,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.7,
2008,4.7,4.7,4.8,4.9,5.1,5.3,5.4,5.6,5.8,6.0,6.3,6.7,
2009,7.0,7.4,7.7,7.9,8.0,8.0,8.0,8.0,7.9,7.8,7.8,7.7,
2010,7.7,7.7,7.6,7.5,7.4,7.3,7.3,7.3,7.3,7.3,7.2,7.1,
2011,6.9,6.8,6.7,6.7,6.7,6.7,6.6,6.5,6.3,6.1,6.0,5.9,
2012,5.8,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.4,
2013,5.3,5.2,5.2,5.1,5.0,5.0,4.9,4.9,4.8,4.7,4.7,4.7,
2014,4.6,4.6,4.5,4.4,4.3,4.2,4.0,4.0,3.9,3.9,3.8,3.8,
2015,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,
2016,3.7,3.7,3.7,3.8,3.8,3.8,3.9,4.0,4.0,4.0,4.0,3.9,
2017,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,
