Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST290000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Missouri,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Missouri,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.9,5.9,5.8,5.7,5.5,5.3,5.2,5.1,5.1,5.0,5.0,5.0,5.4
2006,5.0,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9
2007,4.8,4.8,4.8,4.8,4.9,5.0,5.1,5.3,5.3,5.4,5.4,5.4,5.1
2008,5.3,5.3,5.4,5.5,5.7,5.9,6.1,6.4,6.6,6.9,7.3,7.7,6.2
2009,8.1,8.5,8.9,9.1,9.3,9.4,9.5,9.6,9.6,9.7,9.7,9.7,9.3
2010,9.8,9.8,9.7,9.7,9.6,9.5,9.4,9.5,9.5,9.5,9.5,9.4,9.6
2011,9.3,9.1,8.9,8.8,8.7,8.6,8.5,8.4,8.2,8.0,7.8,7.6,8.5
2012,7.4,7.2,7.1,7.0,7.0,6.9,6.9,6.8,6.8,6.8,6.9,6.9,7.0
2013,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.6,6.6,6.6,6.6,6.7
2014,6.7,6.7,6.6,6.5,6.3,6.2,6.0,5.9,5.8,5.7,5.6,5.6,6.1
2015,5.5,5.5,5.5,5.4,5.3,5.1,4.9,4.7,4.6,4.5,4.5,4.4,5.0
2016,4.4,4.4,4.4,4.5,4.6,4.7,4.8,4.8,4.8,4.7,4.5,4.3,4.6
2017,4.1,4.0,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.7,3.7
