Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST280000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Mississippi,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Mississippi,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,6.7,6.8,6.8,6.8,6.7,6.7,6.8,6.9,9.8,9.1,8.9,8.0,
2006,7.4,7.1,6.7,6.6,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.3,
2007,6.3,6.3,6.3,6.2,6.2,6.1,6.1,6.0,6.0,5.9,5.9,5.8,
2008,5.8,5.8,5.9,6.1,6.3,6.6,6.8,6.9,7.0,7.1,7.3,7.6,
2009,8.0,8.5,8.9,9.1,9.3,9.4,9.5,9.7,9.9,10.2,10.5,10.7,
2010,10.8,10.9,10.8,10.7,10.6,10.2,10.0,10.0,10.0,10.1,10.1,10.1,
2011,10.1,10.1,10.1,10.1,10.1,10.2,10.1,10.1,10.0,9.8,9.7,9.4,
2012,9.2,9.1,9.0,8.9,9.0,9.0,9.1,9.0,9.0,8.9,8.9,8.9,
2013,8.9,8.9,8.9,8.8,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.1,
2014,8.0,8.0,7.9,7.8,7.7,7.6,7.5,7.4,7.2,7.1,7.0,6.8,
2015,6.7,6.7,6.6,6.5,6.5,6.4,6.3,6.3,6.2,6.2,6.2,6.2,
2016,6.2,6.1,6.0,6.0,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.5,
2017,5.4,5.4,5.3,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.8,4.8,
