Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST370000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,North Carolina,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,North Carolina,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.4,5.5,5.4,5.4,5.3,5.3,5.3,5.2,5.2,5.1,5.0,4.8,
2006,4.7,4.6,4.6,4.7,4.7,4.8,4.8,4.9,4.9,4.9,4.8,4.7,
2007,4.7,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.8,4.9,4.9,4.9,
2008,4.9,5.0,5.1,5.2,5.5,5.7,5.9,6.1,6.3,6.5,8.3,9.1,
2009,9.6,10.0,10.3,10.5,10.6,10.6,10.6,10.7,10.8,10.9,11.1,11.2,
2010,11.4,11.4,11.4,11.2,11.0,10.7,10.6,10.5,10.4,10.4,10.4,10.4,
2011,10.4,10.3,10.3,10.3,10.3,10.4,10.5,10.4,10.3,10.2,10.0,9.8,
2012,9.6,9.5,9.4,9.4,9.4,9.3,9.3,9.2,9.2,9.1,9.1,9.0,
2013,8.9,8.8,8.6,8.4,8.2,8.1,7.9,7.7,7.5,7.3,7.1,7.0,
2014,6.8,6.7,6.6,6.5,6.5,6.4,6.3,6.2,6.1,6.0,5.9,5.8,
2015,5.8,5.8,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.4,
2016,5.3,5.2,5.2,5.1,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.0,
2017,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.5,4.5,4.5,
