Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST380000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,North Dakota,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,North Dakota,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,
2006,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.2,
2007,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,
2008,3.0,3.0,2.9,3.0,3.0,3.1,3.2,3.2,3.3,3.4,3.5,3.7,
2009,3.9,4.1,4.2,4.3,4.3,4.2,4.1,4.1,4.0,4.0,4.0,4.0,
2010,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.6,3.6,
2011,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.3,
2012,3.2,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,
2013,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.8,2.8,2.8,2.8,2.8,
2014,2.7,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,
2015,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.0,
2016,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,2.8,
2017,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,
