Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST310000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Nebraska,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Nebraska,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.0,4.0,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.5,
2006,3.4,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,
2007,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0,
2008,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.4,3.5,3.6,3.8,3.9,
2009,4.1,4.3,4.5,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,
2010,4.9,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.5,
2011,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.2,
2012,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
2013,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,
2014,3.5,3.5,3.5,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.0,3.0,
2015,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,
2016,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,
2017,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,
