Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST340000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,New Jersey,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,New Jersey,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.4,4.3,4.3,4.3,4.2,4.2,4.3,4.4,4.6,4.7,4.8,4.9,
2006,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.6,4.5,4.4,4.3,
2007,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.4,4.4,4.5,
2008,4.6,4.6,4.7,4.8,4.9,5.1,5.2,5.4,5.7,6.0,6.4,6.9,
2009,7.4,7.9,8.3,8.7,9.0,9.2,9.4,9.5,9.7,9.7,9.8,9.8,
2010,9.8,9.7,9.7,9.6,9.5,9.4,9.4,9.4,9.4,9.5,9.5,9.5,
2011,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.3,9.3,9.3,9.2,9.2,
2012,9.2,9.2,9.3,9.4,9.5,9.5,9.4,9.4,9.3,9.3,9.3,9.2,
2013,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.1,7.9,7.7,7.5,7.3,
2014,7.2,7.1,6.9,6.8,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.5,
2015,6.5,6.4,6.3,6.2,6.0,5.9,5.7,5.5,5.4,5.2,5.1,5.1,
2016,5.0,5.1,5.1,5.1,5.1,5.1,5.0,5.0,4.9,4.9,4.8,4.7,
2017,4.6,4.6,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.7,4.7,
