Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST350000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,New Mexico,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,New Mexico,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.5,
2006,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.0,3.9,
2007,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.9,
2008,3.9,3.9,4.0,4.0,4.1,4.2,4.3,4.5,4.7,5.0,5.4,5.8,
2009,6.2,6.7,7.1,7.5,7.7,7.8,7.9,7.9,7.8,7.8,7.8,7.9,
2010,8.0,8.0,8.1,8.2,8.3,8.3,8.3,8.2,8.1,8.0,7.9,7.8,
2011,7.7,7.5,7.4,7.4,7.4,7.4,7.5,7.5,7.6,7.6,7.6,7.6,
2012,7.5,7.3,7.2,7.1,7.1,7.0,7.0,7.0,7.0,7.1,7.1,7.0,
2013,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,7.0,7.0,7.0,6.9,
2014,6.9,6.9,6.9,6.8,6.8,6.8,6.7,6.6,6.5,6.5,6.4,6.4,
2015,6.5,6.5,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.6,
2016,6.6,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.7,6.6,
2017,6.5,6.4,6.3,6.3,6.2,6.1,6.1,6.0,6.0,6.0,6.0,6.0,
