Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST360000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,New York,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,New York,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.1,5.1,5.0,5.0,4.9,4.9,5.0,5.0,5.1,5.0,5.0,4.9,
2006,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,
2007,4.2,4.3,4.3,4.4,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.8,
2008,4.8,4.9,4.9,5.0,5.1,5.2,5.4,5.5,5.7,6.0,6.3,6.7,
2009,7.1,7.5,7.8,8.1,8.3,8.4,8.5,8.7,8.8,8.8,8.9,8.9,
2010,8.9,8.8,8.8,8.7,8.6,8.5,8.5,8.5,8.5,8.5,8.4,8.4,
2011,8.3,8.2,8.1,8.1,8.1,8.2,8.3,8.3,8.4,8.5,8.5,8.6,
2012,8.6,8.6,8.7,8.7,8.7,8.7,8.6,8.5,8.4,8.3,8.2,8.2,
2013,8.1,8.1,8.0,7.9,7.8,7.8,7.7,7.7,7.6,7.4,7.3,7.1,
2014,7.0,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6.0,6.0,5.9,5.8,
2015,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.0,5.0,4.9,4.9,4.9,
2016,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.8,
2017,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,
