Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST390000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Ohio,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Ohio,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,6.3,6.3,6.1,6.0,5.9,5.8,5.8,5.8,5.8,5.8,5.7,5.6,
2006,5.5,5.4,5.3,5.3,5.3,5.4,5.5,5.5,5.5,5.5,5.5,5.4,
2007,5.4,5.4,5.4,5.4,5.5,5.5,5.6,5.6,5.7,5.7,5.7,5.6,
2008,5.5,5.5,5.6,5.8,6.0,6.3,6.5,6.7,6.9,7.2,7.6,8.1,
2009,8.7,9.3,9.8,10.2,10.4,10.5,10.6,10.6,10.7,10.8,10.9,11.0,
2010,11.1,11.0,10.9,10.6,10.4,10.1,10.0,9.9,9.9,9.8,9.7,9.5,
2011,9.3,9.1,9.0,9.0,9.0,9.1,9.1,9.0,8.8,8.5,8.3,8.0,
2012,7.8,7.6,7.5,7.4,7.4,7.3,7.3,7.2,7.2,7.3,7.4,7.5,
2013,7.5,7.6,7.6,7.6,7.5,7.5,7.6,7.5,7.4,7.3,7.1,6.9,
2014,6.6,6.4,6.2,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,
2015,5.1,5.1,5.1,5.1,5.0,4.9,4.8,4.7,4.7,4.7,4.8,4.9,
2016,4.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.2,5.2,5.2,
2017,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.0,5.0,4.9,4.9,4.9,
