Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST400000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Oklahoma,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Oklahoma,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.1,
2006,4.0,4.0,4.0,4.0,3.9,4.0,4.0,4.0,4.0,4.1,4.1,4.2,
2007,4.2,4.2,4.3,4.3,4.2,4.2,4.1,4.1,4.0,3.9,3.8,3.6,
2008,3.5,3.4,3.3,3.4,3.4,3.6,3.7,3.8,3.9,4.1,4.4,4.7,
2009,5.1,5.5,5.9,6.2,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.0,
2010,7.1,7.1,7.0,7.0,6.9,6.8,6.7,6.6,6.6,6.6,6.5,6.4,
2011,6.2,6.1,5.9,5.9,5.8,5.8,5.9,5.9,5.9,5.8,5.7,5.6,
2012,5.5,5.4,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,
2013,5.3,5.3,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.1,
2014,5.0,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.2,
2015,4.2,4.2,4.3,4.4,4.4,4.5,4.4,4.4,4.4,4.5,4.5,4.6,
2016,4.6,4.7,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.7,
2017,4.6,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.1,
