Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST420000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Pennsylvania,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Pennsylvania,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.2,5.2,5.1,5.1,5.0,4.9,4.9,4.9,4.9,4.9,4.8,4.7,
2006,4.7,4.6,4.6,4.6,4.7,4.7,4.7,4.6,4.6,4.5,4.4,4.4,
2007,4.3,4.2,4.2,4.2,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.7,
2008,4.7,4.7,4.8,4.8,4.9,5.0,5.2,5.4,5.6,5.9,6.2,6.6,
2009,7.0,7.4,7.7,7.9,8.1,8.2,8.2,8.3,8.3,8.4,8.5,8.6,
2010,8.7,8.8,8.8,8.7,8.6,8.5,8.3,8.3,8.2,8.2,8.1,8.0,
2011,7.9,7.9,7.8,7.8,7.9,8.0,8.0,8.1,8.0,8.0,7.9,7.8,
2012,7.7,7.7,7.7,7.7,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,
2013,7.9,7.8,7.7,7.6,7.5,7.4,7.3,7.3,7.1,7.0,6.8,6.7,
2014,6.5,6.4,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.4,
2015,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.2,5.2,5.2,
2016,5.3,5.3,5.3,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.4,5.3,
2017,5.2,5.1,5.0,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
