Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST440000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Rhode Island,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Rhode Island,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1,
2006,5.1,5.1,5.0,5.0,5.0,5.0,4.9,4.9,4.9,4.8,4.8,4.8,
2007,4.7,4.7,4.8,4.8,4.9,5.0,5.2,5.3,5.5,5.6,5.8,6.0,
2008,6.2,6.4,6.7,7.0,7.3,7.6,7.9,8.2,8.5,8.9,9.3,9.7,
2009,10.1,10.5,10.8,11.0,11.2,11.2,11.2,11.2,11.2,11.1,11.1,11.1,
2010,11.1,11.1,11.2,11.2,11.3,11.3,11.3,11.3,11.2,11.2,11.1,11.1,
2011,11.0,11.0,10.9,10.9,10.9,10.9,11.0,11.0,11.1,11.2,11.2,11.2,
2012,11.2,11.0,10.9,10.7,10.6,10.5,10.3,10.2,10.1,9.9,9.7,9.6,
2013,9.5,9.4,9.3,9.3,9.3,9.3,9.3,9.3,9.2,9.2,9.1,9.0,
2014,8.9,8.7,8.5,8.2,8.0,7.8,7.5,7.3,7.1,7.0,6.8,6.7,
2015,6.6,6.5,6.4,6.3,6.2,6.0,5.9,5.8,5.7,5.6,5.5,5.5,
2016,5.5,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.8,4.7,
2017,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,
