Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST450000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,South Carolina,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,South Carolina,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,6.8,6.8,6.7,6.6,6.6,6.6,6.7,6.7,6.8,6.8,6.8,6.7,
2006,6.6,6.5,6.5,6.5,6.6,6.6,6.6,6.5,6.4,6.4,6.2,6.1,
2007,5.9,5.8,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,
2008,5.6,5.6,5.6,5.8,6.1,6.4,6.7,7.1,7.5,8.0,8.6,9.2,
2009,9.8,10.5,10.9,11.3,11.4,11.5,11.5,11.5,11.5,11.6,11.6,11.7,
2010,11.7,11.7,11.5,11.4,11.2,11.0,10.9,10.8,10.9,10.9,10.8,10.8,
2011,10.7,10.7,10.6,10.6,10.6,10.7,10.7,10.7,10.6,10.4,10.2,10.0,
2012,9.8,9.7,9.6,9.5,9.5,9.4,9.2,9.0,8.9,8.7,8.6,8.5,
2013,8.4,8.4,8.2,8.1,7.9,7.8,7.6,7.4,7.2,7.0,6.8,6.6,
2014,6.4,6.3,6.2,6.2,6.3,6.4,6.5,6.6,6.7,6.7,6.6,6.5,
2015,6.5,6.4,6.4,6.3,6.1,6.0,5.8,5.7,5.6,5.6,5.5,5.5,
2016,5.4,5.4,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.7,4.6,4.6,
2017,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,
