Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST460000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,South Dakota,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,South Dakota,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,3.9,4.0,4.0,4.0,4.0,3.9,3.8,3.8,3.7,3.6,3.5,3.4,
2006,3.2,3.1,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.2,3.1,
2007,3.0,3.0,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,
2008,2.6,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.4,3.5,3.8,4.0,
2009,4.3,4.6,4.8,5.0,5.1,5.1,5.0,5.0,5.0,5.0,5.1,5.1,
2010,5.1,5.1,5.1,5.0,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,
2011,5.0,5.0,5.0,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,
2012,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.3,4.3,4.2,4.1,4.0,
2013,4.0,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,
2014,3.6,3.5,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3,
2015,3.3,3.3,3.2,3.2,3.2,3.2,3.1,3.1,3.0,3.0,2.9,2.9,
2016,2.9,2.8,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.1,3.2,
2017,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,
