Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST470000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Tennessee,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Tennessee,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.9,5.9,5.9,5.8,5.7,5.6,5.4,5.3,5.3,5.3,5.3,5.3,
2006,5.3,5.3,5.3,5.4,5.5,5.5,5.4,5.3,5.2,5.0,4.8,4.7,
2007,4.5,4.4,4.3,4.2,4.2,4.3,4.5,4.7,5.0,5.2,5.3,5.4,
2008,5.4,5.5,5.6,5.8,6.1,6.4,6.7,6.9,7.2,7.5,7.9,8.5,
2009,9.1,9.8,10.3,10.6,10.8,10.9,10.8,10.8,10.7,10.6,10.6,10.5,
2010,10.4,10.3,10.1,9.8,9.6,9.3,9.2,9.2,9.3,9.4,9.5,9.5,
2011,9.5,9.4,9.3,9.2,9.2,9.1,9.1,9.0,8.8,8.6,8.3,8.1,
2012,7.9,7.8,7.8,7.9,7.9,8.0,7.9,7.8,7.7,7.7,7.7,7.8,
2013,7.9,8.0,8.1,8.0,8.0,7.9,7.8,7.8,7.6,7.4,7.2,7.1,
2014,6.9,6.7,6.6,6.6,6.6,6.7,6.6,6.6,6.6,6.5,6.4,6.3,
2015,6.2,6.1,6.0,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5.0,4.9,
2016,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.7,4.7,
2017,4.5,4.4,4.2,4.0,3.8,3.6,3.5,3.4,3.3,3.3,3.3,3.3,
