Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST490000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Utah,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Utah,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.4,4.4,4.3,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.8,3.7,
2006,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.8,2.7,2.6,2.5,
2007,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.8,2.9,
2008,3.0,3.0,3.1,3.2,3.2,3.3,3.4,3.6,3.7,3.9,4.1,5.5,
2009,6.2,6.7,7.0,7.2,7.3,7.4,7.5,7.6,7.6,7.7,7.8,7.8,
2010,7.9,7.9,8.0,8.0,7.9,7.9,7.9,7.8,7.8,7.7,7.6,7.6,
2011,7.5,7.4,7.2,7.1,7.0,6.8,6.7,6.5,6.4,6.3,6.1,6.0,
2012,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5.1,5.1,5.0,
2013,5.0,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.4,4.3,4.3,4.2,
2014,4.1,4.0,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,
2015,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,
2016,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.3,3.3,3.3,3.3,
2017,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,
