Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST500000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Vermont,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Vermont,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,3.5,3.5,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.6,
2006,3.5,3.5,3.5,3.5,3.6,3.6,3.7,3.8,3.8,3.9,3.9,3.9,
2007,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.1,4.1,4.2,4.2,4.2,
2008,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.7,4.8,5.1,5.4,5.7,
2009,6.1,6.4,6.7,6.9,6.9,6.9,6.8,6.6,6.5,6.4,6.3,6.3,
2010,6.3,6.3,6.2,6.2,6.1,6.1,6.0,6.0,6.0,6.0,5.9,5.9,
2011,5.8,5.7,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.3,5.2,
2012,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.8,4.7,4.6,
2013,4.6,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,
2014,4.1,4.1,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.8,3.8,
2015,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,
2016,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,
2017,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.9,
