Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST550000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Wisconsin,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Wisconsin,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,4.7,4.7,4.7,4.7,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.8,
2006,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.8,
2007,4.8,4.8,4.9,4.9,4.9,4.9,5.0,5.0,5.0,5.0,4.8,4.7,
2008,4.5,4.4,4.3,4.3,4.4,4.5,4.7,4.9,5.2,5.5,5.9,6.5,
2009,7.0,7.6,8.1,8.4,8.7,8.8,8.9,8.9,9.0,9.1,9.2,9.2,
2010,9.3,9.2,9.1,8.9,8.7,8.6,8.5,8.4,8.4,8.3,8.2,8.1,
2011,8.0,8.0,7.9,7.9,7.9,7.9,7.8,7.8,7.7,7.5,7.4,7.3,
2012,7.2,7.1,7.1,7.1,7.1,7.1,7.1,7.0,6.9,6.9,6.9,6.9,
2013,7.0,7.0,7.0,6.9,6.8,6.8,6.7,6.6,6.6,6.5,6.3,6.2,
2014,6.1,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5.1,5.0,4.9,4.9,
2015,4.8,4.7,4.7,4.7,4.6,4.5,4.5,4.4,4.4,4.4,4.3,4.3,
2016,4.2,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,3.9,3.8,3.7,
2017,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,
