Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST540000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,West Virginia,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,West Virginia,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,5.2,5.2,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.1,5.0,4.8,
2006,4.7,4.7,4.7,4.8,5.0,5.1,5.2,5.2,5.2,5.1,4.9,4.8,
2007,4.6,4.5,4.5,4.4,4.4,4.5,4.5,4.6,4.7,4.7,4.7,4.6,
2008,4.5,4.4,4.3,4.2,4.1,4.1,4.0,4.1,4.2,4.4,4.8,5.3,
2009,5.8,6.4,7.0,7.5,7.9,8.1,8.2,8.2,8.2,8.3,8.4,8.5,
2010,8.6,8.6,8.6,8.5,8.5,8.5,8.5,8.6,8.7,8.8,8.8,8.8,
2011,8.7,8.5,8.3,8.2,8.1,8.0,8.0,8.0,7.9,7.8,7.7,7.5,
2012,7.4,7.3,7.3,7.4,7.5,7.6,7.6,7.7,7.6,7.6,7.5,7.4,
2013,7.3,7.1,6.9,6.8,6.7,6.6,6.6,6.6,6.6,6.7,6.8,6.8,
2014,6.9,6.8,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.5,6.5,6.6,
2015,6.7,6.8,6.9,7.0,7.1,7.0,6.9,6.7,6.6,6.5,6.4,6.4,
2016,6.4,6.4,6.4,6.3,6.2,6.1,6.1,6.0,6.0,5.9,5.7,5.5,
2017,5.3,5.1,5.0,5.0,5.0,5.0,5.1,5.2,5.3,5.4,5.4,5.4,
