Local Area Unemployment Statistics,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,
,,,,,,,,,,,,,
Series Id:,LASST560000000000003,,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,,
Area:,Wyoming,,,,,,,,,,,,
Area Type:,Statewide,,,,,,,,,,,,
State/Region/Division:,Wyoming,,,,,,,,,,,,
Years:,2005 to 2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2005,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.5,
2006,3.4,3.3,3.2,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.1,3.0,
2007,2.9,2.8,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.8,
2008,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.1,3.2,3.3,3.5,3.9,
2009,4.4,5.0,5.6,6.1,6.5,6.7,6.8,6.8,6.9,7.0,7.1,7.1,
2010,7.1,7.1,6.9,6.7,6.5,6.3,6.2,6.1,6.1,6.1,6.1,6.2,
2011,6.1,6.1,6.0,5.9,5.8,5.7,5.7,5.6,5.7,5.7,5.6,5.6,
2012,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.3,5.3,5.2,5.1,
2013,5.1,5.0,4.9,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.5,4.5,
2014,4.4,4.3,4.2,4.1,4.1,4.1,4.1,4.2,4.1,4.1,4.0,3.9,
2015,3.9,3.9,4.0,4.1,4.2,4.3,4.4,4.4,4.5,4.5,4.7,4.9,
2016,5.1,5.3,5.5,5.6,5.6,5.5,5.4,5.3,5.1,5.0,5.0,4.9,
2017,4.7,4.5,4.3,4.1,4.0,4.0,4.0,4.1,4.1,4.2,4.2,4.1,
