"","state","year","st","govname1","govparty_a","gov_pres_same_party","term_length","gub_election","gov_pres_same_elect_year","limit_type","lame_duck_last_term","unemployment.x","state_cpi_bfh_est","citi6013","wideo","mood","ranney3_gub_prop","folded_ranney_4yrs","unemployment.y","votes_for_runnerup","votes_for_winner","total_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","total_popular_votes","Republican_Popular_Vote","Percent_Republican_Popular_Vote","Democrat_Popular_Votes","Percent_Democrat_Popular_Vote","Third_Party_Popular_Vote","Percent_Third_Party_Popular_Vote"
"1","Alabama",1950,"AL","Folsom, James E.","1",0,4,1,0,1,1,NA,NA,NA,NA,NA,0.91100001,0.52916503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alabama",1951,"AL","Persons, Gordon","1",0,4,0,0,1,1,NA,NA,NA,NA,NA,0.91100001,0.52764601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alabama",1952,"AL","Persons, Gordon","1",0,4,0,0,1,1,NA,NA,NA,NA,NA,0.91100001,0.52612698,NA,NA,NA,NA,NA,NA,NA,"426,120","149,231",35,"275,075",64.6,NA,NA
"4","Alabama",1953,"AL","Persons, Gordon","1",1,4,0,0,1,1,NA,NA,NA,NA,NA,0.91100001,0.52460802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alabama",1954,"AL","Persons, Gordon","1",1,4,1,0,1,1,NA,NA,NA,NA,NA,0.73369998,0.53509998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alabama",1955,"AL","Folsom, James E.","1",1,4,0,0,1,1,NA,NA,NA,NA,NA,0.73369998,0.54559201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alabama",1956,"AL","Folsom, James E.","1",1,4,0,0,1,1,NA,NA,NA,NA,43.922001,0.73369998,0.55608302,NA,NA,NA,NA,NA,NA,NA,"496,861","195,694",39.4,"280,844",56.5,NA,NA
"8","Alabama",1957,"AL","Folsom, James E.","1",1,4,0,0,1,1,NA,NA,NA,NA,43.757999,0.73369998,0.56657499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alabama",1958,"AL","Folsom, James E.","1",1,4,1,0,1,1,NA,NA,NA,NA,50.181,0.88739997,0.55696899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Alabama",1959,"AL","Patterson, John M.","1",1,4,0,0,1,1,NA,NA,NA,NA,50.264999,0.88739997,0.54736298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Alabama",1960,"AL","Patterson, John M.","1",1,4,0,0,1,1,NA,0.079988003,41.292999,NA,49.410999,0.88739997,0.53775603,NA,NA,NA,NA,NA,NA,NA,"570,225","237,981",41.7,"324,050",56.8,NA,NA
"12","Alabama",1961,"AL","Patterson, John M.","1",0,4,0,0,1,1,NA,0.081372999,40.888401,NA,52.584999,0.88739997,0.52815002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Alabama",1962,"AL","Patterson, John M.","1",0,4,1,0,1,1,NA,0.084394999,40.748901,NA,53.005001,1,0.52229202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Alabama",1963,"AL","Wallace, George C.","1",0,4,0,0,1,1,NA,0.088468,37.150501,NA,59.243999,1,0.516433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alabama",1964,"AL","Wallace, George C.","1",0,4,0,0,1,1,NA,0.092789002,34.972099,NA,59.987999,1,0.510575,NA,NA,NA,NA,NA,NA,NA,"689,818","479,085",69.5,"--",0,NA,NA
"16","Alabama",1965,"AL","Wallace, George C.","1",0,4,0,0,1,1,NA,0.098448999,10.8097,NA,59.623001,1,0.50471699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Alabama",1966,"AL","Wallace, George C.","1",0,4,1,0,1,1,NA,0.105017,10.6573,NA,55.394001,0.67150003,0.525855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Alabama",1967,"AL","Wallace, Lurleen B.","1",0,4,0,0,1,1,NA,0.110822,10.8613,NA,60.416,0.67150003,0.546992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Alabama",1968,"AL","Wallace, Lurleen B. then Albert Brewer","1",0,4,0,0,1,1,NA,0.120643,6.3101201,NA,58.048,0.67150003,0.56813002,NA,NA,NA,NA,NA,NA,NA,"1,049,922","146,923",14,"196,579",18.7,"691,425",65.9
"20","Alabama",1969,"AL","Brewer, Albert P.","1",1,4,0,0,2,0,NA,0.134224,13.9358,NA,53.013,0.67150003,0.58926803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Alabama",1970,"AL","Brewer, Albert P.","1",1,4,1,0,2,0,NA,0.14602,16.087999,NA,55.479,1,0.56814098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Alabama",1971,"AL","Wallace, George C.","1",1,4,0,0,2,0,NA,0.15638299,23.0406,NA,52.405998,1,0.54701501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Alabama",1972,"AL","Wallace, George C.","1",1,4,0,0,2,0,NA,0.166418,15.8853,NA,52.785,1,0.52588803,NA,NA,NA,NA,NA,NA,NA,"1,006,111","728,701",72.4,"256,923",25.5,NA,NA
"24","Alabama",1973,"AL","Wallace, George C.","1",1,4,0,0,2,0,NA,0.181676,27.9011,NA,47.880001,1,0.50476199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Alabama",1974,"AL","Wallace, George C.","1",1,4,1,0,2,0,NA,0.20384701,21.116501,NA,46.52,0.84920001,0.51299602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Alabama",1975,"AL","Wallace, George C.","1",1,4,0,0,2,1,7.6999998,0.224333,20.8806,NA,45.477001,0.84920001,0.521231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Alabama",1976,"AL","Wallace, George C.","1",1,4,0,0,2,1,6.8000002,0.241015,25.3396,-0.18905599,45.657001,0.84920001,0.52946502,NA,NA,NA,NA,NA,NA,NA,"1,182,850","504,070",42.6,"659,170",55.7,NA,NA
"28","Alabama",1977,"AL","Wallace, George C.","1",0,4,0,0,2,1,7.4000001,0.25957799,27.849199,-0.094821997,44.457001,0.84920001,0.5377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Alabama",1978,"AL","Wallace, George C.","1",0,4,1,0,2,1,6.3000002,0.28212199,25.221399,-0.177825,44.894001,0.73699999,0.54709399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Alabama",1979,"AL","James, Forrest H. """"""""Fob"""""""" Jr.","1",0,4,0,0,2,0,7.0999999,0.313972,29.835501,-0.217298,42.957001,0.73699999,0.55648702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Alabama",1980,"AL","James, Forrest H. """"""""Fob"""""""" Jr.","1",0,4,0,0,2,0,8.8000002,0.352588,29.2213,-0.262541,42.346001,0.73699999,0.56588,NA,NA,NA,NA,NA,NA,NA,"1,341,929","654,192",48.8,"636,730",47.4,"16,481",1.2
"32","Alabama",1981,"AL","James, Forrest H. """"""""Fob"""""""" Jr.","1",1,4,0,0,2,0,10.7,0.387227,26.8981,-0.36576,42.771,0.73699999,0.57527399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Alabama",1982,"AL","James, Forrest H. """"""""Fob"""""""" Jr.","1",1,4,1,0,2,0,14,0.40961701,23.2766,-0.29976401,44.650002,0.59609997,0.59181798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Alabama",1983,"AL","Wallace, George C.","1",1,4,0,0,2,0,13.7,0.42444,35.092201,-0.29877299,45.896,0.59609997,0.60836202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Alabama",1984,"AL","Wallace, George C.","1",1,4,0,0,2,0,11.1,0.440584,28.214899,-0.087352999,46.535,0.59609997,0.62490702,NA,NA,NA,NA,NA,NA,NA,"1,441,713","872,849",60.5,"551,899",38.3,NA,NA
"36","Alabama",1985,"AL","Wallace, George C.","1",1,4,0,0,2,0,8.8999996,0.45600799,27.877199,-0.179162,45.058998,0.59609997,0.641451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Alabama",1986,"AL","Wallace, George C.","1",1,4,1,0,2,0,9.8000002,0.46604699,37.791199,-0.365078,46.25,0.4355,0.69107199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Alabama",1987,"AL","Hunt, Guy","0",0,4,0,0,2,0,7.8000002,0.48337999,38.516899,-0.25104699,48.419998,0.4355,0.74069297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Alabama",1988,"AL","Hunt, Guy","0",0,4,0,0,2,0,7.1999998,0.50284803,45.0299,-0.377226,45.798,0.4355,0.79031402,NA,NA,NA,NA,NA,NA,NA,"1,378,476","815,576",59.2,"549,506",39.9,NA,NA
"40","Alabama",1989,"AL","Hunt, Guy","0",0,4,0,0,2,0,7,0.52672398,37.4725,-0.30568701,45.803001,0.4355,0.839935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Alabama",1990,"AL","Hunt, Guy","0",0,4,1,0,2,0,6.8000002,0.55212402,33.8354,-0.31449699,47.168999,0.47889999,0.844365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Alabama",1991,"AL","Hunt, Guy","0",0,4,0,0,2,1,7.1999998,0.57049203,39.809101,-0.28907299,45.801998,0.47889999,0.848795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
