"","year","state","st","gov_name","term_in_office","gov_party","term_length","limit_type","lame_duck_last_term","gub_election","gov_pres_same_elect_year","gov_pres_same_party","unemployment","state_cpi","gross_state_product","lagged_gsp","change_gsp","electoral_competitiveness","citizen_ideology","state_ideology","stimson_mood","gub_dem_vote_prop","votes_for_runnerup","votes_for_winner","total_gub_votes","winner_vote_proportion","runnerup_vote_proportion","diff_vote_proportion","mean_gub_approve","mean_gub_disapprove","Republican_Popular_Vote","Democrat_Popular_Vote","Third_Party_Popular_Vote","total_popular_votes","Republican_Popular_Vote_Proportion","Democrat_Popular_Vote_Proportion","Third_Party_Popular_Vote_Proportion","mean_pres_approve","mean_pres_disapprove","pres_party"
"1",1950,"Alabama","AL","Folsom, James E.",1,1,4,1,1,1,0,0,NA,NA,NA,NA,NA,0.52916503,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1951,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,0,NA,NA,NA,NA,NA,0.52764601,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1952,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,0,NA,NA,NA,NA,NA,0.52612698,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,149231,275075,NA,426120,0.35,0.646,NA,NA,NA,NA
"4",1953,"Alabama","AL","Persons, Gordon",1,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.52460802,NA,NA,NA,0.91100001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1954,"Alabama","AL","Persons, Gordon",1,1,4,1,1,1,0,1,NA,NA,NA,NA,NA,0.53509998,NA,NA,NA,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1955,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.54559201,NA,NA,NA,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1956,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.55608302,NA,NA,43.922001,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,195694,280844,NA,496861,0.394,0.565,NA,NA,NA,NA
"8",1957,"Alabama","AL","Folsom, James E.",2,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.56657499,NA,NA,43.757999,0.73369998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1958,"Alabama","AL","Folsom, James E.",2,1,4,1,1,1,0,1,NA,NA,NA,NA,NA,0.55696899,NA,NA,50.181,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1959,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,1,NA,NA,NA,NA,NA,0.54736298,NA,NA,50.264999,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1960,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,1,NA,0.079988003,NA,NA,NA,0.53775603,41.292999,NA,49.410999,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,237981,324050,NA,570225,0.417,0.568,NA,NA,NA,NA
"12",1961,"Alabama","AL","Patterson, John M.",1,1,4,1,1,0,0,0,NA,0.081372999,NA,NA,NA,0.52815002,40.888401,NA,52.584999,0.88739997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1962,"Alabama","AL","Patterson, John M.",1,1,4,1,1,1,0,0,NA,0.084394999,NA,NA,NA,0.52229202,40.748901,NA,53.005001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1963,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.088468,1083,NA,NA,0.516433,37.150501,NA,59.243999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1964,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.092789002,1230,1083,0.135734072022161,0.510575,34.972099,NA,59.987999,1,NA,NA,NA,NA,NA,NA,NA,0.24,479085,NA,NA,689818,0.695,0,NA,0.321052631578947,0.517368421052632,1
"16",1965,"Alabama","AL","Wallace, George C.",1,1,4,1,1,0,0,0,NA,0.098448999,1374,1230,0.117073170731707,0.50471699,10.8097,NA,59.623001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1966,"Alabama","AL","Wallace, George C.",1,1,4,1,1,1,0,0,NA,0.105017,1494,1374,0.0873362445414847,0.525855,10.6573,NA,55.394001,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1967,"Alabama","AL","Wallace, Lurleen B.",1,1,4,1,1,0,0,0,NA,0.110822,1643,1494,0.0997322623828647,0.546992,10.8613,NA,60.416,0.67150003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
