"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AK",6.88333333333333,6.625,6.35,6.70833333333333,7.73333333333333,7.875,7.56666666666667,7.13333333333333,7,6.86666666666667,6.53333333333333,6.90833333333333,7.14166666666667
"AL",4.5,4.06666666666667,3.975,5.71666666666667,10.9916666666667,10.5416666666667,9.61666666666667,7.98333333333333,7.21666666666667,6.76666666666667,6.09166666666667,5.85833333333333,4.40833333333333
"AR",5.225,5.175,5.3,5.5,7.825,8.19166666666667,8.29166666666667,7.575,7.21666666666667,6.025,5.025,3.95,3.66666666666667
"AZ",4.66666666666667,4.225,3.825,6.14166666666667,9.925,10.35,9.5,8.33333333333333,7.74166666666667,6.78333333333333,6.04166666666667,5.375,4.85833333333333
"CA",5.4,4.91666666666667,5.375,7.29166666666667,11.1416666666667,12.225,11.7083333333333,10.375,8.94166666666667,7.5,6.2,5.48333333333333,4.775
"CO",5.025,4.30833333333333,3.725,4.85,7.3,8.725,8.35833333333333,7.89166666666667,6.85,5,3.875,3.275,2.80833333333333
"CT",4.875,4.33333333333333,4.475,5.66666666666667,7.925,9.13333333333333,8.825,8.35,7.80833333333333,6.61666666666667,5.73333333333333,5.16666666666667,4.66666666666667
"DC",6.38333333333333,5.79166666666667,5.53333333333333,6.44166666666667,9.275,9.40833333333333,10.1583333333333,9.04166666666667,8.49166666666667,7.76666666666667,6.875,6.10833333333333,6.06666666666667
"DE",4.14166666666667,3.59166666666667,3.44166666666667,4.96666666666667,8.25833333333333,8.41666666666667,7.5,7.20833333333333,6.69166666666667,5.71666666666667,4.85,4.525,4.56666666666667
"FL",3.68333333333333,3.24166666666667,4.00833333333333,6.3,10.3916666666667,11.0333333333333,9.99166666666667,8.48333333333333,7.23333333333333,6.26666666666667,5.44166666666667,4.825,4.15
"GA",5.325,4.725,4.54166666666667,6.26666666666667,9.93333333333333,10.4916666666667,10.2333333333333,9.19166666666667,8.2,7.1,5.95833333333333,5.36666666666667,4.75
"HI",2.85833333333333,2.64166666666667,2.775,4.325,7.125,6.95,6.8,6.00833333333333,4.88333333333333,4.35,3.56666666666667,2.95,2.35833333333333
"IA",4.25,3.7,3.7,4.23333333333333,6.39166666666667,6.00833333333333,5.525,5.03333333333333,4.73333333333333,4.24166666666667,3.775,3.60833333333333,3.13333333333333
"ID",4.03333333333333,3.475,3.04166666666667,5.14166666666667,8.73333333333333,8.96666666666667,8.31666666666667,7.2,6.11666666666667,4.86666666666667,4.225,3.76666666666667,3.175
"IL",5.68333333333333,4.56666666666667,4.95833333333333,6.30833333333333,10.2,10.3666666666667,9.69166666666667,8.99166666666667,9.04166666666667,7.1,5.96666666666667,5.81666666666667,4.975
"IN",5.46666666666667,5.08333333333333,4.55833333333333,5.91666666666667,10.2916666666667,10.3416666666667,9.10833333333333,8.35,7.63333333333333,5.95833333333333,4.84166666666667,4.425,3.55
"KS",5.00833333333333,4.39166666666667,4.24166666666667,4.625,6.86666666666667,7.05833333333333,6.49166666666667,5.73333333333333,5.30833333333333,4.53333333333333,4.15,4.03333333333333,3.625
"KY",5.86666666666667,5.73333333333333,5.375,6.46666666666667,10.3333333333333,10.1666666666667,9.375,8.16666666666667,8.01666666666667,6.45833333333333,5.29166666666667,5.15,4.925
"LA",7.125,4.425,4.24166666666667,4.925,6.825,7.95,7.83333333333333,7.09166666666667,6.675,6.38333333333333,6.33333333333333,6.05833333333333,5.15
"MA",4.85,4.89166666666667,4.6,5.55,8.1,8.29166666666667,7.24166666666667,6.65833333333333,6.71666666666667,5.74166666666667,4.79166666666667,3.89166666666667,3.71666666666667
"MD",4.125,3.86666666666667,3.45,4.25,7.01666666666667,7.65,7.25,6.96666666666667,6.56666666666667,5.80833333333333,5.075,4.43333333333333,4.125
"ME",4.875,4.56666666666667,4.68333333333333,5.51666666666667,8.08333333333333,8.125,7.89166666666667,7.46666666666667,6.65,5.63333333333333,4.375,3.78333333333333,3.31666666666667
"MI",6.78333333333333,7.00833333333333,7,8.04166666666667,13.6083333333333,12.575,10.3916666666667,9.125,8.78333333333333,7.23333333333333,5.40833333333333,4.99166666666667,4.625
"MN",4.06666666666667,3.99166666666667,4.55,5.44166666666667,7.76666666666667,7.39166666666667,6.49166666666667,5.60833333333333,4.95833333333333,4.16666666666667,3.675,3.85833333333333,3.45833333333333
"MO",5.375,4.86666666666667,5.08333333333333,6.175,9.25833333333333,9.575,8.49166666666667,6.975,6.73333333333333,6.13333333333333,4.99166666666667,4.575,3.74166666666667
"MS",7.5,6.55833333333333,6.09166666666667,6.6,9.475,10.3583333333333,9.98333333333333,9,8.53333333333333,7.5,6.4,5.84166666666667,5.10833333333333
"MT",4.325,3.50833333333333,3.575,5.10833333333333,6.84166666666667,7.3,6.94166666666667,5.98333333333333,5.40833333333333,4.65833333333333,4.19166666666667,4.13333333333333,4.04166666666667
"NC",5.24166666666667,4.75833333333333,4.71666666666667,6.13333333333333,10.575,10.8166666666667,10.2666666666667,9.29166666666667,7.95833333333333,6.31666666666667,5.71666666666667,5.09166666666667,4.55
"ND",3.375,3.20833333333333,3.1,3.19166666666667,4.1,3.78333333333333,3.46666666666667,3.06666666666667,2.91666666666667,2.675,2.79166666666667,3.05833333333333,2.59166666666667
"NE",3.8,3.13333333333333,3,3.34166666666667,4.64166666666667,4.625,4.39166666666667,4.01666666666667,3.76666666666667,3.26666666666667,3.01666666666667,3.09166666666667,2.93333333333333
"NH",3.575,3.44166666666667,3.525,3.86666666666667,6.225,5.83333333333333,5.40833333333333,5.48333333333333,5.08333333333333,4.275,3.36666666666667,2.85833333333333,2.68333333333333
"NJ",4.45,4.73333333333333,4.275,5.35833333333333,9.03333333333333,9.53333333333333,9.34166666666667,9.33333333333333,8.24166666666667,6.74166666666667,5.775,4.98333333333333,4.61666666666667
"NM",5.08333333333333,4.175,3.75833333333333,4.48333333333333,7.50833333333333,8.1,7.51666666666667,7.11666666666667,6.94166666666667,6.68333333333333,6.53333333333333,6.68333333333333,6.15833333333333
"NV",4.09166666666667,4.05,4.49166666666667,6.70833333333333,11.3,13.5,13.0166666666667,11.1916666666667,9.625,7.91666666666667,6.775,5.73333333333333,5.04166666666667
"NY",5,4.55833333333333,4.55,5.45833333333333,8.31666666666667,8.59166666666667,8.3,8.51666666666667,7.70833333333333,6.33333333333333,5.25833333333333,4.85,4.7
"OH",5.90833333333333,5.425,5.54166666666667,6.475,10.2916666666667,10.2416666666667,8.85,7.40833333333333,7.425,5.8,4.90833333333333,5.05,5.04166666666667
"OK",4.45833333333333,4.025,4.075,3.76666666666667,6.38333333333333,6.775,5.875,5.26666666666667,5.28333333333333,4.50833333333333,4.4,4.81666666666667,4.29166666666667
"OR",6.18333333333333,5.33333333333333,5.16666666666667,6.56666666666667,11.2583333333333,10.6083333333333,9.5,8.825,7.875,6.775,5.58333333333333,4.81666666666667,4.14166666666667
"PA",4.96666666666667,4.59166666666667,4.39166666666667,5.31666666666667,8.05,8.43333333333333,7.925,7.825,7.34166666666667,5.875,5.3,5.4,4.89166666666667
"RI",5.04166666666667,4.94166666666667,5.19166666666667,7.80833333333333,10.975,11.2,11.025,10.3916666666667,9.26666666666667,7.70833333333333,6,5.20833333333333,4.45833333333333
"SC",6.71666666666667,6.45833333333333,5.65,6.85,11.2333333333333,11.1333333333333,10.5416666666667,9.2,7.61666666666667,6.45,5.95,4.975,4.25833333333333
"SD",3.8,3.11666666666667,2.825,3.1,4.925,4.975,4.725,4.26666666666667,3.78333333333333,3.40833333333333,3.11666666666667,3,3.325
"TN",5.55833333333333,5.225,4.66666666666667,6.625,10.4583333333333,9.63333333333333,8.96666666666667,7.825,7.73333333333333,6.59166666666667,5.59166666666667,4.725,3.71666666666667
"TX",5.40833333333333,4.89166666666667,4.275,4.825,7.56666666666667,8.13333333333333,7.75833333333333,6.74166666666667,6.25,5.10833333333333,4.425,4.64166666666667,4.25833333333333
"UT",4.075,2.98333333333333,2.59166666666667,3.58333333333333,7.31666666666667,7.83333333333333,6.75,5.4,4.59166666666667,3.825,3.6,3.44166666666667,3.25833333333333
"VA",3.575,3.11666666666667,3.04166666666667,3.95833333333333,6.68333333333333,7.125,6.59166666666667,6.05833333333333,5.7,5.23333333333333,4.45833333333333,4.09166666666667,3.75
"VT",3.49166666666667,3.68333333333333,4.025,4.70833333333333,6.56666666666667,6.08333333333333,5.46666666666667,4.925,4.40833333333333,3.95,3.575,3.24166666666667,3.00833333333333
"WA",5.54166666666667,5.05,4.69166666666667,5.40833333333333,9.11666666666667,9.99166666666667,9.275,8.10833333333333,7.03333333333333,6.125,5.64166666666667,5.275,4.775
"WI",4.71666666666667,4.74166666666667,4.89166666666667,4.925,8.575,8.64166666666667,7.75833333333333,7.03333333333333,6.7,5.41666666666667,4.525,4.00833333333333,3.3
"WV",5.1,4.95,4.55833333333333,4.36666666666667,7.70833333333333,8.625,8.05833333333333,7.49166666666667,6.79166666666667,6.64166666666667,6.75,6.08333333333333,5.18333333333333
"WY",3.575,3.175,2.85,3.06666666666667,6.33333333333333,6.45,5.79166666666667,5.30833333333333,4.71666666666667,4.13333333333333,4.31666666666667,5.275,4.19166666666667
