"","st","year","unemployment"
"1","AK","2005","6.88333333333333"
"2","AK","2013","7"
"3","AK","2008","6.70833333333333"
"4","AK","2009","7.73333333333333"
"5","AK","2014","6.86666666666667"
"6","AK","2007","6.35"
"7","AK","2012","7.13333333333333"
"8","AK","2017","7.14166666666667"
"9","AK","2011","7.56666666666667"
"10","AK","2010","7.875"
"11","AK","2015","6.53333333333333"
"12","AK","2006","6.625"
"13","AK","2016","6.90833333333333"
"14","FL","2010","11.0333333333333"
"15","FL","2016","4.825"
"16","FL","2013","7.23333333333333"
"17","FL","2015","5.44166666666667"
"18","FL","2006","3.24166666666667"
"19","FL","2011","9.99166666666667"
"20","FL","2007","4.00833333333333"
"21","FL","2012","8.48333333333333"
"22","FL","2014","6.26666666666667"
"23","FL","2005","3.68333333333333"
"24","FL","2009","10.3916666666667"
"25","FL","2017","4.15"
"26","FL","2008","6.3"
"27","GA","2011","10.2333333333333"
"28","GA","2005","5.325"
"29","GA","2015","5.95833333333333"
"30","GA","2007","4.54166666666667"
"31","GA","2006","4.725"
"32","GA","2008","6.26666666666667"
"33","GA","2010","10.4916666666667"
"34","GA","2017","4.75"
"35","GA","2012","9.19166666666667"
"36","GA","2016","5.36666666666667"
"37","GA","2014","7.1"
"38","GA","2009","9.93333333333333"
"39","GA","2013","8.2"
"40","HI","2006","2.64166666666667"
"41","HI","2008","4.325"
"42","HI","2015","3.56666666666667"
"43","HI","2007","2.775"
"44","HI","2012","6.00833333333333"
"45","HI","2016","2.95"
"46","HI","2014","4.35"
"47","HI","2010","6.95"
"48","HI","2013","4.88333333333333"
"49","HI","2017","2.35833333333333"
"50","HI","2009","7.125"
"51","HI","2011","6.8"
"52","HI","2005","2.85833333333333"
"53","IA","2012","5.03333333333333"
"54","IA","2006","3.7"
"55","IA","2007","3.7"
"56","IA","2010","6.00833333333333"
"57","IA","2005","4.25"
"58","IA","2014","4.24166666666667"
"59","IA","2009","6.39166666666667"
"60","IA","2008","4.23333333333333"
"61","IA","2013","4.73333333333333"
"62","IA","2017","3.13333333333333"
"63","IA","2015","3.775"
"64","IA","2011","5.525"
"65","IA","2016","3.60833333333333"
"66","ID","2014","4.86666666666667"
"67","ID","2017","3.175"
"68","ID","2016","3.76666666666667"
"69","ID","2005","4.03333333333333"
"70","ID","2015","4.225"
"71","ID","2010","8.96666666666667"
"72","ID","2013","6.11666666666667"
"73","ID","2008","5.14166666666667"
"74","ID","2006","3.475"
"75","ID","2009","8.73333333333333"
"76","ID","2007","3.04166666666667"
"77","ID","2012","7.2"
"78","ID","2011","8.31666666666667"
"79","IL","2014","7.1"
"80","IL","2010","10.3666666666667"
"81","IL","2017","4.975"
"82","IL","2008","6.30833333333333"
"83","IL","2006","4.56666666666667"
"84","IL","2015","5.96666666666667"
"85","IL","2007","4.95833333333333"
"86","IL","2013","9.04166666666667"
"87","IL","2005","5.68333333333333"
"88","IL","2011","9.69166666666667"
"89","IL","2009","10.2"
"90","IL","2012","8.99166666666667"
"91","IL","2016","5.81666666666667"
"92","IN","2008","5.91666666666667"
"93","IN","2014","5.95833333333333"
"94","IN","2010","10.3416666666667"
"95","IN","2013","7.63333333333333"
"96","IN","2012","8.35"
"97","IN","2015","4.84166666666667"
"98","IN","2006","5.08333333333333"
"99","IN","2009","10.2916666666667"
"100","IN","2011","9.10833333333333"
"101","IN","2005","5.46666666666667"
"102","IN","2017","3.55"
"103","IN","2016","4.425"
"104","IN","2007","4.55833333333333"
"105","KS","2013","5.30833333333333"
"106","KS","2015","4.15"
"107","KS","2010","7.05833333333333"
"108","KS","2005","5.00833333333333"
"109","KS","2017","3.625"
"110","KS","2009","6.86666666666667"
"111","KS","2011","6.49166666666667"
"112","KS","2006","4.39166666666667"
"113","KS","2007","4.24166666666667"
"114","KS","2014","4.53333333333333"
"115","KS","2008","4.625"
"116","KS","2016","4.03333333333333"
"117","KS","2012","5.73333333333333"
"118","KY","2010","10.1666666666667"
"119","KY","2009","10.3333333333333"
"120","KY","2006","5.73333333333333"
"121","KY","2015","5.29166666666667"
"122","KY","2017","4.925"
"123","KY","2014","6.45833333333333"
"124","KY","2016","5.15"
"125","KY","2008","6.46666666666667"
"126","KY","2005","5.86666666666667"
"127","KY","2011","9.375"
"128","KY","2012","8.16666666666667"
"129","KY","2013","8.01666666666667"
"130","KY","2007","5.375"
"131","LA","2010","7.95"
"132","LA","2009","6.825"
"133","LA","2006","4.425"
"134","LA","2015","6.33333333333333"
"135","LA","2014","6.38333333333333"
"136","LA","2005","7.125"
"137","LA","2016","6.05833333333333"
"138","LA","2013","6.675"
"139","LA","2011","7.83333333333333"
"140","LA","2008","4.925"
"141","LA","2017","5.15"
"142","LA","2007","4.24166666666667"
"143","LA","2012","7.09166666666667"
"144","AL","2009","10.9916666666667"
"145","AL","2007","3.975"
"146","AL","2013","7.21666666666667"
"147","AL","2017","4.40833333333333"
"148","AL","2005","4.5"
"149","AL","2010","10.5416666666667"
"150","AL","2012","7.98333333333333"
"151","AL","2006","4.06666666666667"
"152","AL","2014","6.76666666666667"
"153","AL","2016","5.85833333333333"
"154","AL","2015","6.09166666666667"
"155","AL","2008","5.71666666666667"
"156","AL","2011","9.61666666666667"
"157","MA","2005","4.85"
"158","MA","2006","4.89166666666667"
"159","MA","2011","7.24166666666667"
"160","MA","2016","3.89166666666667"
"161","MA","2010","8.29166666666667"
"162","MA","2015","4.79166666666667"
"163","MA","2012","6.65833333333333"
"164","MA","2014","5.74166666666667"
"165","MA","2007","4.6"
"166","MA","2009","8.1"
"167","MA","2013","6.71666666666667"
"168","MA","2008","5.55"
"169","MA","2017","3.71666666666667"
"170","MD","2005","4.125"
"171","MD","2015","5.075"
"172","MD","2006","3.86666666666667"
"173","MD","2011","7.25"
"174","MD","2010","7.65"
"175","MD","2009","7.01666666666667"
"176","MD","2014","5.80833333333333"
"177","MD","2012","6.96666666666667"
"178","MD","2007","3.45"
"179","MD","2017","4.125"
"180","MD","2013","6.56666666666667"
"181","MD","2016","4.43333333333333"
"182","MD","2008","4.25"
"183","ME","2010","8.125"
"184","ME","2005","4.875"
"185","ME","2007","4.68333333333333"
"186","ME","2014","5.63333333333333"
"187","ME","2006","4.56666666666667"
"188","ME","2011","7.89166666666667"
"189","ME","2017","3.31666666666667"
"190","ME","2015","4.375"
"191","ME","2009","8.08333333333333"
"192","ME","2008","5.51666666666667"
"193","ME","2016","3.78333333333333"
"194","ME","2012","7.46666666666667"
"195","ME","2013","6.65"
"196","MI","2017","4.625"
"197","MI","2010","12.575"
"198","MI","2016","4.99166666666667"
"199","MI","2007","7"
"200","MI","2015","5.40833333333333"
"201","MI","2011","10.3916666666667"
"202","MI","2013","8.78333333333333"
"203","MI","2008","8.04166666666667"
"204","MI","2009","13.6083333333333"
"205","MI","2005","6.78333333333333"
"206","MI","2006","7.00833333333333"
"207","MI","2012","9.125"
"208","MI","2014","7.23333333333333"
"209","MN","2007","4.55"
"210","MN","2005","4.06666666666667"
"211","MN","2016","3.85833333333333"
"212","MN","2017","3.45833333333333"
"213","MN","2011","6.49166666666667"
"214","MN","2015","3.675"
"215","MN","2006","3.99166666666667"
"216","MN","2013","4.95833333333333"
"217","MN","2014","4.16666666666667"
"218","MN","2010","7.39166666666667"
"219","MN","2012","5.60833333333333"
"220","MN","2008","5.44166666666667"
"221","MN","2009","7.76666666666667"
"222","MO","2014","6.13333333333333"
"223","MO","2017","3.74166666666667"
"224","MO","2006","4.86666666666667"
"225","MO","2012","6.975"
"226","MO","2016","4.575"
"227","MO","2011","8.49166666666667"
"228","MO","2015","4.99166666666667"
"229","MO","2010","9.575"
"230","MO","2005","5.375"
"231","MO","2008","6.175"
"232","MO","2009","9.25833333333333"
"233","MO","2013","6.73333333333333"
"234","MO","2007","5.08333333333333"
"235","MS","2015","6.4"
"236","MS","2013","8.53333333333333"
"237","MS","2014","7.5"
"238","MS","2017","5.10833333333333"
"239","MS","2012","9"
"240","MS","2006","6.55833333333333"
"241","MS","2011","9.98333333333333"
"242","MS","2016","5.84166666666667"
"243","MS","2010","10.3583333333333"
"244","MS","2005","7.5"
"245","MS","2008","6.6"
"246","MS","2009","9.475"
"247","MS","2007","6.09166666666667"
"248","MT","2015","4.19166666666667"
"249","MT","2009","6.84166666666667"
"250","MT","2013","5.40833333333333"
"251","MT","2014","4.65833333333333"
"252","MT","2017","4.04166666666667"
"253","MT","2012","5.98333333333333"
"254","MT","2007","3.575"
"255","MT","2011","6.94166666666667"
"256","MT","2006","3.50833333333333"
"257","MT","2010","7.3"
"258","MT","2016","4.13333333333333"
"259","MT","2005","4.325"
"260","MT","2008","5.10833333333333"
"261","NC","2013","7.95833333333333"
"262","NC","2014","6.31666666666667"
"263","NC","2010","10.8166666666667"
"264","NC","2012","9.29166666666667"
"265","NC","2008","6.13333333333333"
"266","NC","2009","10.575"
"267","NC","2016","5.09166666666667"
"268","NC","2007","4.71666666666667"
"269","NC","2011","10.2666666666667"
"270","NC","2005","5.24166666666667"
"271","NC","2006","4.75833333333333"
"272","NC","2017","4.55"
"273","NC","2015","5.71666666666667"
"274","ND","2008","3.19166666666667"
"275","ND","2010","3.78333333333333"
"276","ND","2016","3.05833333333333"
"277","ND","2017","2.59166666666667"
"278","ND","2013","2.91666666666667"
"279","ND","2014","2.675"
"280","ND","2009","4.1"
"281","ND","2011","3.46666666666667"
"282","ND","2007","3.1"
"283","ND","2015","2.79166666666667"
"284","ND","2006","3.20833333333333"
"285","ND","2012","3.06666666666667"
"286","ND","2005","3.375"
"287","AR","2005","5.225"
"288","AR","2010","8.19166666666667"
"289","AR","2015","5.025"
"290","AR","2008","5.5"
"291","AR","2014","6.025"
"292","AR","2017","3.66666666666667"
"293","AR","2009","7.825"
"294","AR","2011","8.29166666666667"
"295","AR","2013","7.21666666666667"
"296","AR","2016","3.95"
"297","AR","2006","5.175"
"298","AR","2007","5.3"
"299","AR","2012","7.575"
"300","NE","2009","4.64166666666667"
"301","NE","2010","4.625"
"302","NE","2006","3.13333333333333"
"303","NE","2014","3.26666666666667"
"304","NE","2013","3.76666666666667"
"305","NE","2007","3"
"306","NE","2005","3.8"
"307","NE","2011","4.39166666666667"
"308","NE","2016","3.09166666666667"
"309","NE","2008","3.34166666666667"
"310","NE","2015","3.01666666666667"
"311","NE","2017","2.93333333333333"
"312","NE","2012","4.01666666666667"
"313","NH","2014","4.275"
"314","NH","2006","3.44166666666667"
"315","NH","2009","6.225"
"316","NH","2005","3.575"
"317","NH","2015","3.36666666666667"
"318","NH","2010","5.83333333333333"
"319","NH","2008","3.86666666666667"
"320","NH","2013","5.08333333333333"
"321","NH","2012","5.48333333333333"
"322","NH","2011","5.40833333333333"
"323","NH","2016","2.85833333333333"
"324","NH","2007","3.525"
"325","NH","2017","2.68333333333333"
"326","NJ","2005","4.45"
"327","NJ","2014","6.74166666666667"
"328","NJ","2009","9.03333333333333"
"329","NJ","2013","8.24166666666667"
"330","NJ","2015","5.775"
"331","NJ","2008","5.35833333333333"
"332","NJ","2010","9.53333333333333"
"333","NJ","2007","4.275"
"334","NJ","2012","9.33333333333333"
"335","NJ","2006","4.73333333333333"
"336","NJ","2011","9.34166666666667"
"337","NJ","2016","4.98333333333333"
"338","NJ","2017","4.61666666666667"
"339","NM","2010","8.1"
"340","NM","2015","6.53333333333333"
"341","NM","2005","5.08333333333333"
"342","NM","2014","6.68333333333333"
"343","NM","2011","7.51666666666667"
"344","NM","2009","7.50833333333333"
"345","NM","2006","4.175"
"346","NM","2017","6.15833333333333"
"347","NM","2008","4.48333333333333"
"348","NM","2007","3.75833333333333"
"349","NM","2016","6.68333333333333"
"350","NM","2013","6.94166666666667"
"351","NM","2012","7.11666666666667"
"352","NV","2015","6.775"
